IDEN=Pb pipe corrosion - 0.3/0.3/0.3/0.15/0.15,
DATE=07-06-17 @13:39,
XRAY=CU,
SCAN=Coupled Scan,
XBEG=15.0,
XEND=55.0,
XINC=0.05,
TIME=10.0(sec),
NPTS=801,
SUMM=241965,
NETA=241965,
BKGL=0,
BKGR=0,
DATA,
15.00001,204
15.05001,176
15.10001,206
15.15001,181
15.20001,194
15.25001,185
15.30001,192
15.35001,204
15.40001,222
15.45001,191
15.50001,182
15.55001,204
15.60001,162
15.65001,168
15.70001,192
15.75001,182
15.80001,196
15.85001,188
15.90001,163
15.95001,177
16.00001,168
16.05001,173
16.10001,200
16.15001,210
16.20001,164
16.25001,184
16.30001,166
16.35001,202
16.40001,198
16.45001,203
16.50001,182
16.55001,178
16.60001,186
16.65001,207
16.70001,194
16.75001,188
16.80001,185
16.85001,192
16.90001,179
16.95001,189
17.00001,175
17.05001,186
17.10001,246
17.15001,196
17.20001,214
17.25001,196
17.30001,208
17.35001,205
17.40001,167
17.45001,179
17.50001,196
17.55001,182
17.60001,199
17.65001,198
17.70001,214
17.75001,188
17.80001,226
17.85001,213
17.90001,223
17.95001,193
18.00001,195
18.05001,198
18.10001,191
18.15001,195
18.20001,192
18.25001,209
18.30001,201
18.35001,222
18.40001,220
18.45001,199
18.50001,210
18.55001,190
18.60001,175
18.65001,195
18.70001,202
18.75001,200
18.80001,211
18.85001,239
18.90001,190
18.95001,213
19.00001,188
19.05001,219
19.10001,217
19.15001,213
19.20001,223
19.25001,219
19.30001,220
19.35001,245
19.40001,235
19.45001,234
19.50001,242
19.55001,244
19.60001,275
19.65001,324
19.70001,309
19.75001,340
19.80001,370
19.85001,390
19.90001,418
19.95001,378
20.00001,322
20.05001,281
20.10001,292
20.15001,239
20.20001,262
20.25001,245
20.30001,238
20.35001,266
20.40001,256
20.45001,234
20.50001,260
20.55001,259
20.60001,267
20.65001,324
20.70001,297
20.75001,310
20.80001,340
20.85001,405
20.90001,422
20.95001,452
21.00001,401
21.05001,317
21.10001,278
21.15001,277
21.20001,272
21.25001,306
21.30001,256
21.35001,249
21.40001,241
21.45001,290
21.50001,246
21.55001,287
21.60001,295
21.65001,279
21.70001,305
21.75001,255
21.80001,263
21.85001,281
21.90001,274
21.95001,279
22.00001,236
22.05001,246
22.10001,251
