dataset.x,location,param,date,sample_time,replicate,value,flag,detection_limit,unit,datasets.x,dataset.y,selector,analyte,modifiers,datasets.y,analysis_code,column,national_variable_code,variable_type,description,national_method_code,method_title,vmv_code,dataset,label,site_type,longitude,latitude,province,station_name,datasets,drainage_basin,elevation_m,lake_area_ha,basin_area_km2,flushing_rate,shorelength_km,max_eff_length_km,max_eff_width_km,max_depth_m,mean_depth_m,data_url
water_ns,NS01ED0078,110707,2008-08-18,12:55:00,1,5,<,5,REL UNITS,"lrtap, nltwqm",water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Cobrielle Lake,Lake,-65.2328,44.3164,NS,COBRIELLE LAKE IN MIDDLE OF LAKE,"lrtap, nltwqm",Mersey River,129,131.8,11.5,3.76,8.3,1.61,1,6.25,1.97,NA
water_ns,NS01ED0078,110707,2008-10-21,10:57:00,1,5,<,5,REL UNITS,"lrtap, nltwqm",water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Cobrielle Lake,Lake,-65.2328,44.3164,NS,COBRIELLE LAKE IN MIDDLE OF LAKE,"lrtap, nltwqm",Mersey River,129,131.8,11.5,3.76,8.3,1.61,1,6.25,1.97,NA
water_ns,NS01ED0078,110707,2009-06-02,10:50:00,1,18,NA,NA,REL UNITS,"lrtap, nltwqm",water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Cobrielle Lake,Lake,-65.2328,44.3164,NS,COBRIELLE LAKE IN MIDDLE OF LAKE,"lrtap, nltwqm",Mersey River,129,131.8,11.5,3.76,8.3,1.61,1,6.25,1.97,NA
water_ns,NS01ED0078,110707,2009-06-05,12:30:00,1,16,NA,NA,REL UNITS,"lrtap, nltwqm",water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Cobrielle Lake,Lake,-65.2328,44.3164,NS,COBRIELLE LAKE IN MIDDLE OF LAKE,"lrtap, nltwqm",Mersey River,129,131.8,11.5,3.76,8.3,1.61,1,6.25,1.97,NA
water_ns,NS01ED0078,110707,2009-08-23,10:17:00,1,6,NA,NA,REL UNITS,"lrtap, nltwqm",water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Cobrielle Lake,Lake,-65.2328,44.3164,NS,COBRIELLE LAKE IN MIDDLE OF LAKE,"lrtap, nltwqm",Mersey River,129,131.8,11.5,3.76,8.3,1.61,1,6.25,1.97,NA
water_ns,NS01ED0078,110707,2009-10-20,10:11:00,1,10,NA,NA,REL UNITS,"lrtap, nltwqm",water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Cobrielle Lake,Lake,-65.2328,44.3164,NS,COBRIELLE LAKE IN MIDDLE OF LAKE,"lrtap, nltwqm",Mersey River,129,131.8,11.5,3.76,8.3,1.61,1,6.25,1.97,NA
water_ns,NS01ED0078,110707,2010-06-02,11:42:00,1,14,NA,NA,REL UNITS,"lrtap, nltwqm",water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Cobrielle Lake,Lake,-65.2328,44.3164,NS,COBRIELLE LAKE IN MIDDLE OF LAKE,"lrtap, nltwqm",Mersey River,129,131.8,11.5,3.76,8.3,1.61,1,6.25,1.97,NA
water_ns,NS01ED0078,110707,2010-06-18,12:00:00,1,12,NA,NA,REL UNITS,"lrtap, nltwqm",water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Cobrielle Lake,Lake,-65.2328,44.3164,NS,COBRIELLE LAKE IN MIDDLE OF LAKE,"lrtap, nltwqm",Mersey River,129,131.8,11.5,3.76,8.3,1.61,1,6.25,1.97,NA
water_ns,NS01ED0078,110707,2010-08-18,17:30:00,1,5,<,5,REL UNITS,"lrtap, nltwqm",water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Cobrielle Lake,Lake,-65.2328,44.3164,NS,COBRIELLE LAKE IN MIDDLE OF LAKE,"lrtap, nltwqm",Mersey River,129,131.8,11.5,3.76,8.3,1.61,1,6.25,1.97,NA
water_ns,NS01ED0078,110707,2010-10-25,11:27:00,1,5,NA,NA,REL UNITS,"lrtap, nltwqm",water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Cobrielle Lake,Lake,-65.2328,44.3164,NS,COBRIELLE LAKE IN MIDDLE OF LAKE,"lrtap, nltwqm",Mersey River,129,131.8,11.5,3.76,8.3,1.61,1,6.25,1.97,NA
