# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=models/armodel_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,ar.1,sigma,b_Intercept
-4.01182e+06,1,3.05176e-05,3,7,0,1.34628e+07,1.0733,2.25887,0.217052,1.0733
-4.01182e+06,0,14.3855,0,1,1,4.01183e+06,1.0733,2.25887,0.217052,1.0733
-4.01182e+06,0,2.43117,0,1,1,4.01182e+06,1.0733,2.25887,0.217052,1.0733
-4.01182e+06,0,0.239791,0,1,1,4.01183e+06,1.0733,2.25887,0.217052,1.0733
-4.01182e+06,0,0.0186273,0,1,1,4.01182e+06,1.0733,2.25887,0.217052,1.0733
-4.01182e+06,0,0.00130482,0,1,1,4.01183e+06,1.0733,2.25887,0.217052,1.0733
-271657,1,8.85015e-05,1,1,0,3.41572e+06,1.05593,1.83904,0.223964,1.05593
-185123,1,0.000135987,1,1,0,258395,1.05372,1.78347,0.225034,1.05372
-90772.3,1,0.000228818,4,15,0,163609,1.0496,1.68253,0.227245,1.0496
-32462.4,1,0.000408639,1,1,0,75333.4,1.04329,1.54074,0.230712,1.04329
-10856.5,1,0.000758439,1,1,0,26629.1,1.03566,1.39264,0.235461,1.03566
-3903.19,1,0.00144197,1,1,0,8915.41,1.02969,1.24994,0.240557,1.02969
-1617.9,1,0.00278004,4,15,0,3265.85,1.02463,1.10634,0.247835,1.02463
-995.929,1,0.00539629,2,3,0,1440.7,1.02629,0.982622,0.259976,1.02629
-478.932,1,0.0104922,2,3,0,950.541,1.04221,0.839414,0.381242,1.04221
