# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.995
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=models/armodel_gam_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1_1,ar.1,sigma,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,b_Intercept
-544.818,1,0.00390625,1,1,0,4042.96,1.07664,0.924805,-1.53564,1.18843,1.05275,0.752714,-0.107577,-1.16704,0.849677,-0.534602,0.413386,1.0776,0.552332,-0.634813,0.491279,0.435195,0.311162,-0.044471,-0.482437,0.351245,-0.220997,1.07664
-544.818,0,10.0913,0,1,1,551.737,1.07664,0.924805,-1.53564,1.18843,1.05275,0.752714,-0.107577,-1.16704,0.849677,-0.534602,0.413386,1.0776,0.552332,-0.634813,0.491279,0.435195,0.311162,-0.044471,-0.482437,0.351245,-0.220997,1.07664
-544.818,0,0.969604,0,1,1,547.941,1.07664,0.924805,-1.53564,1.18843,1.05275,0.752714,-0.107577,-1.16704,0.849677,-0.534602,0.413386,1.0776,0.552332,-0.634813,0.491279,0.435195,0.311162,-0.044471,-0.482437,0.351245,-0.220997,1.07664
-544.818,0,0.050447,0,1,1,550.703,1.07664,0.924805,-1.53564,1.18843,1.05275,0.752714,-0.107577,-1.16704,0.849677,-0.534602,0.413386,1.0776,0.552332,-0.634813,0.491279,0.435195,0.311162,-0.044471,-0.482437,0.351245,-0.220997,1.07664
-387.141,1,0.00200582,3,7,0,549.945,1.06825,0.901143,-1.51842,1.19971,1.06285,0.756928,-0.104596,-1.16685,0.843912,-0.534,0.412916,0.986723,0.57876,-0.626977,0.495378,0.438867,0.312547,-0.0431894,-0.48181,0.348464,-0.220497,1.06825
-344.996,1,0.0014058,4,15,0,391.007,1.06222,0.889973,-1.53637,1.20694,1.06217,0.770941,-0.103469,-1.15933,0.833365,-0.536288,0.406431,0.935421,0.596614,-0.624429,0.490536,0.4317,0.313334,-0.0420528,-0.471187,0.338705,-0.217964,1.06222
-291.211,1,0.00112368,5,31,0,349.868,1.06013,0.91472,-1.49863,1.2351,1.05988,0.744112,-0.103172,-1.15512,0.829712,-0.566148,0.391188,0.872574,0.677331,-0.586246,0.483157,0.414611,0.291088,-0.0403597,-0.451868,0.324573,-0.22147,1.06013
-255.127,1,0.00098151,6,63,0,294.131,1.01364,0.946558,-1.50595,1.24689,1.06761,0.755012,-0.0911247,-1.10925,0.819379,-0.555347,0.384095,0.877973,0.782023,-0.578428,0.478926,0.410063,0.289997,-0.0350006,-0.426057,0.31472,-0.213306,1.01364
-235.771,0.999996,0.000912067,7,127,0,260.25,1.02273,0.953273,-1.53561,1.31046,1.10739,0.756855,-0.118189,-1.09755,0.855514,-0.570321,0.387827,0.883181,0.884269,-0.595552,0.50823,0.429474,0.293529,-0.0458369,-0.425661,0.331791,-0.221186,1.02273
-228.097,0.999944,0.000885812,8,255,0,243.357,0.913756,0.817508,-1.24111,1.32614,1.21919,0.701982,0.137531,-0.965923,0.720944,-0.557858,0.472195,0.835095,1.83881,-0.586046,0.626197,0.575694,0.331472,0.0649413,-0.456104,0.340426,-0.263417,0.913756
-218.292,0.999981,0.000888193,7,255,0,230.084,0.943445,0.828948,-1.27971,1.37216,1.18957,0.74596,0.109421,-0.999616,0.683008,-0.573415,0.450072,0.870191,1.52087,-0.575962,0.617571,0.535394,0.335736,0.0492475,-0.449899,0.307403,-0.258078,0.943445
-214.133,0.999976,0.000911876,10,1023,0,222.177,-0.018623,1.52506,-0.902984,1.23226,1.85718,-0.0462312,0.0566314,-1.34491,0.168832,-0.209127,0.567169,0.902848,1.20837,-0.512144,0.698901,1.05333,-0.0262209,0.0321196,-0.76279,0.095756,-0.11861,-0.018623
-214.484,0.999856,0.00095258,10,1023,0,218.025,0.424004,1.36266,-0.361534,0.790329,1.93318,-0.00990992,0.814928,-1.22621,0.674053,0.125517,0.420912,0.82664,1.32086,-0.152174,0.332659,0.813701,-0.00417121,0.343013,-0.516129,0.283717,0.0528318,0.424004
-215.394,0.999958,0.0010076,10,1023,0,220.404,0.0379536,1.6106,-0.530244,-0.223384,1.81867,1.44996,1.05503,-0.758061,0.313446,-0.562443,0.499995,0.813816,1.25181,-0.265119,-0.111691,0.909326,0.724974,0.527508,-0.379027,0.156721,-0.281219,0.0379536
-213.828,0.999976,0.00107633,10,1023,0,217.072,0.113023,1.18975,-0.632564,-0.0317209,1.54671,1.34264,0.482539,-0.401231,0.350026,-0.605206,0.567312,0.818582,1.21086,-0.358861,-0.0179957,0.877468,0.761697,0.27375,-0.227623,0.198574,-0.343341,0.113023
-213.818,0.999992,0.00115788,10,1023,0,219.01,0.568771,1.67945,-0.701724,-0.520761,1.08614,1.84912,0.356305,-0.252155,-0.447701,-0.375042,0.860217,0.824286,1.20815,-0.603635,-0.447968,0.934312,1.59064,0.3065,-0.216908,-0.38512,-0.322617,0.568771
-215.065,0.999994,0.001252,10,1023,0,217.69,0.639197,2.02282,-0.83507,-1.41938,1.61327,0.983239,0.165872,-0.628084,-0.382917,-0.540716,0.460719,0.81708,1.33323,-0.384732,-0.653934,0.743264,0.452997,0.0764203,-0.28937,-0.176417,-0.249118,0.639197
-214.96,0.999845,0.00135865,10,1023,0,222.251,0.0786993,0.99956,-0.505537,-1.12989,1.69965,1.49556,0.491606,-0.133167,-0.172138,-0.551267,0.292559,0.888192,1.12834,-0.1479,-0.33056,0.497249,0.437541,0.143824,-0.0389593,-0.0503605,-0.161278,0.0786993
-216.449,0.999945,0.00147735,10,1023,0,225.994,-0.323669,-1.0011,0.813277,0.352243,2.67115,0.650749,-1.36253,0.222146,-0.735821,1.15075,0.730101,0.890226,1.21221,0.593775,0.257173,1.95021,0.475113,-0.994783,0.162189,-0.537224,0.840167,-0.323669
-214.616,0.99994,0.00160947,10,1023,0,224.692,-0.29935,-1.44014,-0.257481,0.383767,2.45779,0.0890051,-0.189909,0.788279,0.245995,0.671642,1.26606,0.918888,1.29702,-0.325985,0.48587,3.1117,0.112685,-0.240436,0.998005,0.311443,0.850336,-0.29935
-213.435,0.999948,0.00175495,10,1023,0,221.126,0.251999,-2.61367,-0.0360133,-1.30946,-0.460688,-0.844781,-0.809485,1.53344,0.360697,-0.344909,1.28292,0.873122,1.25498,-0.0462022,-1.67993,-0.591027,-1.08379,-1.03851,1.96729,0.462746,-0.442491,0.251999
-214.259,0.999903,0.00191431,10,1023,0,219.495,0.410018,-1.73938,-0.808305,1.40979,0.256698,1.38502,-0.184114,-0.849071,-0.813011,-0.366278,1.00796,0.873014,1.3189,-0.814743,1.42102,0.258742,1.39605,-0.18558,-0.855833,-0.819486,-0.369196,0.410018
-218.757,0.999599,0.00208777,10,1023,0,224.872,-0.512406,-1.20546,1.39106,-0.221305,-0.116052,-2.37328,0.352761,-1.1907,0.913119,-0.0560849,0.234037,0.848669,1.33241,0.325559,-0.0517935,-0.0271605,-0.555434,0.0825591,-0.278668,0.213704,-0.0131259,-0.512406
-218.782,0.999484,0.00227408,10,1023,0,228.438,-0.299904,0.0196379,1.00785,1.07432,-0.720311,-0.0640383,-0.301263,-1.19705,1.13323,-0.744645,0.210412,0.926094,1.51317,0.212064,0.226051,-0.151562,-0.0134744,-0.0633894,-0.251875,0.238445,-0.156683,-0.299904
-223.35,0.999889,0.00247467,10,1023,0,227.827,0.564144,-0.561592,-1.53183,-0.856803,-1.26227,1.59525,1.38559,1.31394,-0.154866,0.0765928,0.077756,0.91565,1.0661,-0.119109,-0.0666216,-0.0981489,0.12404,0.107738,0.102167,-0.0120418,0.00595555,0.564144
-221.205,1,0.00269391,10,1023,0,231.004,-0.226625,-2.44481,-0.694706,-0.521632,-0.807474,1.96305,-0.89539,-0.340639,-0.0873985,0.814057,0.0126997,0.874258,1.12625,-0.00882253,-0.00662455,-0.0102547,0.0249301,-0.0113711,-0.004326,-0.00110993,0.0103382,-0.226625
-218.71,0.999981,0.00293063,10,1023,0,229.378,0.392124,-3.45553,0.394381,-0.133243,0.365255,1.27154,0.350187,1.79451,0.515951,-0.827266,0.0479943,0.898847,1.28638,0.0189281,-0.00639491,0.0175302,0.0610266,0.016807,0.0861261,0.0247627,-0.0397041,0.392124
-220.991,0.999856,0.0031845,10,1023,0,226.389,0.461397,-3.638,1.53355,0.471612,0.96498,2.25191,-1.35821,0.352296,0.211618,-0.545224,0.070898,0.862675,1.31456,0.108726,0.0334363,0.0684151,0.159656,-0.0962941,0.0249771,0.0150033,-0.0386553,0.461397
-217.95,0.999894,0.00345509,10,1023,0,225.334,-0.596964,-3.02008,0.67428,-0.214633,-0.302641,1.09963,0.957594,1.72367,0.62544,-0.370025,0.117808,0.923488,1.35079,0.0794356,-0.0252855,-0.0356536,0.129546,0.112812,0.203063,0.0736819,-0.0435919,-0.596964
-218.063,0.997952,0.00374444,10,1023,0,224.987,-0.0595087,-2.35919,-1.18101,0.378722,0.270372,1.41633,-1.42826,-1.32186,0.70275,-0.735083,0.209171,0.83826,1.219,-0.247033,0.0792178,0.0565541,0.296256,-0.298752,-0.276495,0.146995,-0.153758,-0.0595087
