# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=carmodel_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,ar.1,sigma,b_Intercept
-1.62521e+07,1,1.52588e-05,2,3,0,8.77166e+07,-1.25084,3.58237,1.06423,-1.25084
-1.62521e+07,0,14.3855,0,1,1,1.62521e+07,-1.25084,3.58237,1.06423,-1.25084
-1.62521e+07,0,2.43117,0,1,1,1.62521e+07,-1.25084,3.58237,1.06423,-1.25084
-1.62521e+07,0,0.239791,0,1,1,1.62521e+07,-1.25084,3.58237,1.06423,-1.25084
-1.62521e+07,0,0.0186273,0,1,1,1.62521e+07,-1.25084,3.58237,1.06423,-1.25084
-1.62521e+07,0,0.00130482,0,1,1,1.62521e+07,-1.25084,3.58237,1.06423,-1.25084
-1.62521e+07,0,8.85015e-05,0,1,1,1.62521e+07,-1.25084,3.58237,1.06423,-1.25084
-1.37001e+07,1,6.04912e-06,2,3,0,1.62033e+07,-1.24972,3.53305,1.06672,-1.24972
-6.25935e+06,1,9.87721e-06,3,7,0,1.34988e+07,-1.24455,3.31515,1.07819,-1.24455
-3.73925e+06,1,1.73734e-05,2,3,0,6.1421e+06,-1.24108,3.17893,1.08583,-1.24108
-1.40319e+06,1,3.21041e-05,2,3,0,3.57855e+06,-1.23449,2.9342,1.10054,-1.23449
-961589,1,6.12567e-05,1,1,0,1.33776e+06,-1.23189,2.84465,1.1064,-1.23189
-363420,1,0.000119228,1,1,0,807082,-1.2253,2.62523,1.12156,-1.2253
-90341.8,1,0.000234676,3,7,0,287555,-1.2157,2.33668,1.14384,-1.2157
-24759.7,1,0.000464213,1,1,0,72253.9,-1.20648,2.09112,1.16622,-1.20648
-6869.81,1,0.000918678,1,1,0,19828.2,-1.19822,1.86343,1.18963,-1.19822
-2089.15,1,0.00181295,1,1,0,5557.21,-1.18697,1.65803,1.21279,-1.18697
-797.271,1,0.00355923,3,7,0,1704.34,-1.1819,1.4809,1.23304,-1.1819
-351.699,1,0.00693959,1,1,0,674.131,-1.17199,1.2911,1.27023,-1.17199
-242.108,1,0.0134212,2,3,0,321.289,-1.18499,1.14016,1.31065,-1.18499
-208.207,1,0.0257257,1,1,0,231.325,-1.16861,1.00073,1.34675,-1.16861
-200.16,1,0.0488444,2,3,0,205.648,-1.14219,0.913259,1.30136,-1.14219
-196.247,0.706015,0.0918287,2,3,0,199.892,-1.00026,0.774516,1.295,-1.00026
-195.895,0.806651,0.0727234,2,3,0,197.488,-1.00303,0.803885,1.15944,-1.00303
-196.471,0.55762,0.0773128,2,3,0,197.912,-1.05925,0.758181,1.24769,-1.05925
-195.924,0.968383,0.0403209,3,7,0,197.683,-0.944051,0.830536,1.25609,-0.944051
-195.15,0.986555,0.0680921,2,3,0,195.951,-0.946491,0.778199,1.18715,-0.946491
-195.15,0.0403974,0.119967,2,3,0,197.527,-0.946491,0.778199,1.18715,-0.946491
-196.973,0.991884,0.0150156,3,7,0,197.151,-1.01811,0.861297,1.21168,-1.01811
-197.299,1,0.026939,3,7,0,197.872,-1.10877,0.749471,1.16745,-1.10877
-196.089,1,0.0489402,3,7,0,197.994,-1.0324,0.766935,1.17493,-1.0324
-192.262,0.432174,0.0880367,3,7,0,197.959,-0.572613,0.705895,1.19184,-0.572613
-194.378,0.982011,0.033977,4,23,0,195.995,0.46904,0.738625,1.23146,0.46904
-194.862,0.965751,0.0578648,2,3,0,195.273,0.512678,0.767155,1.26957,0.512678
-194.862,0.00261296,0.0935782,2,3,0,196.621,0.512678,0.767155,1.26957,0.512678
-195.387,0.997407,0.0119329,4,15,0,195.731,0.483175,0.735414,1.30752,0.483175
-192.85,1,0.0210562,4,31,0,196.007,0.12316,0.768852,1.07535,0.12316
-193.47,0.973874,0.0370698,2,3,0,193.542,0.112404,0.775881,1.05159,0.112404
-193.647,0.960821,0.0604878,2,7,0,197.626,0.418865,0.760927,1.18814,0.418865
-193.217,0.942991,0.0947465,2,3,0,193.799,0.360246,0.762819,1.17687,0.360246
-193.714,0.582388,0.140888,1,1,0,193.988,0.36373,0.707325,1.18973,0.36373
-193.143,0.944554,0.0842,1,3,0,194.221,0.27414,0.692927,1.17907,0.27414
-192.267,0.35892,0.125034,2,3,0,193.977,0.103358,0.668161,1.16259,0.103358
-193.841,0.941743,0.0433336,2,3,0,193.92,0.141235,0.619734,1.22143,0.141235
-192.309,0.970131,0.0638273,2,3,0,194.536,0.127309,0.681927,1.13486,0.127309
-192.085,0.734217,0.100184,3,7,0,193.835,-0.189545,0.767849,1.25493,-0.189545
-191.84,0.54806,0.0882267,2,3,0,194.51,-0.28335,0.634628,1.1377,-0.28335
-191.943,0.994784,0.0497304,2,7,0,192.358,-0.244255,0.623481,1.16022,-0.244255
-193.327,0.923659,0.0821255,2,7,0,193.71,-0.383222,0.825687,1.1491,-0.383222
-195.153,0.0810814,0.113767,1,3,0,197.102,-0.369199,0.626395,1.00713,-0.369199
