# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=carmodel_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,ar.1,sigma,lprior,b_Intercept
-744.608,1,0.015625,1,1,0,1725.79,1.01855,0.724786,0.357282,-3.27707,1.01855
-744.608,0,14.3855,0,1,1,745.71,1.01855,0.724786,0.357282,-3.27707,1.01855
-744.608,0,2.43117,0,1,1,745.947,1.01855,0.724786,0.357282,-3.27707,1.01855
-744.608,0,0.239791,0,1,1,746.139,1.01855,0.724786,0.357282,-3.27707,1.01855
-241.096,1,0.0186273,2,3,0,695.023,0.870156,0.736181,0.759869,-3.32505,0.870156
-198.807,1,0.0257257,3,7,0,239.029,0.747243,0.746772,1.16038,-3.41257,0.747243
-194.514,0.998383,0.0404064,4,15,0,200.726,0.289372,0.692424,1.1589,-3.12725,0.289372
-193.318,0.968259,0.0683793,3,15,0,195.478,-0.506607,0.66076,1.1696,-2.97488,-0.506607
-192.704,0.979151,0.110579,2,7,0,194.347,-0.068815,0.754627,1.15944,-3.30419,-0.068815
-192.704,0.197449,0.190506,1,3,1,193.086,-0.068815,0.754627,1.15944,-3.30419,-0.068815
-193.187,0.990343,0.0281841,5,31,0,193.824,-0.461591,0.6566,1.13945,-2.95754,-0.461591
-192.302,0.963998,0.0517619,3,15,0,194.343,-0.303609,0.696628,1.14548,-3.07598,-0.303609
-192.406,0.992464,0.0881426,2,7,0,192.803,-0.253151,0.661484,1.1762,-2.98477,-0.253151
-192.406,7.24978e-27,0.164564,1,1,0,195.654,-0.253151,0.661484,1.1762,-2.98477,-0.253151
-192.689,0.99889,0.0138933,6,63,0,193.25,0.0120077,0.696774,1.13297,-3.09725,0.0120077
-193.766,0.989458,0.0268195,5,31,0,195.259,-0.170878,0.586775,1.18432,-2.84333,-0.170878
-194.351,0.979147,0.0500537,4,23,0,195.766,-0.462136,0.803841,1.17076,-3.5071,-0.462136
-195.374,0.805799,0.0899667,3,7,0,196.358,-0.203997,0.837583,1.16695,-3.68853,-0.203997
-195.348,0.998779,0.0949702,3,7,0,196.42,-0.522527,0.825054,1.16327,-3.61199,-0.522527
-195.348,9.63046e-06,0.179198,1,3,1,197.57,-0.522527,0.825054,1.16327,-3.61199,-0.522527
-196.934,0.999146,0.017055,5,31,0,197.694,-0.934827,0.809742,1.19278,-3.56115,-0.934827
-192.948,0.986809,0.0324111,4,23,0,197.8,-0.0169365,0.753205,1.20697,-3.31458,-0.0169365
-192.24,0.999799,0.058826,3,11,0,193.51,-0.209865,0.678735,1.16059,-3.03057,-0.209865
-192.254,0.981863,0.109839,3,7,0,192.91,-0.11127,0.710099,1.16339,-3.13587,-0.11127
-193.144,0.209824,0.192791,2,3,0,194.371,-0.25325,0.771379,1.20571,-3.37229,-0.25325
-193.938,0.94869,0.0369333,3,15,0,195.098,-0.0114052,0.735535,1.04839,-3.21034,-0.0114052
-194.133,0.991601,0.0590312,4,15,0,194.777,-0.380754,0.756348,1.29074,-3.32477,-0.380754
-194.065,0.888095,0.105616,3,7,0,194.516,-0.213073,0.762554,1.29366,-3.35852,-0.213073
-193.652,0.668802,0.140274,2,3,0,193.701,-0.344338,0.783537,1.21781,-3.42527,-0.344338
-198.099,0.814512,0.1012,3,15,0,201.118,-0.553252,0.868142,1.12488,-3.84243,-0.553252
-198.099,0.00163645,0.109411,2,3,0,201.603,-0.553252,0.868142,1.12488,-3.84243,-0.553252
-198.63,0.997277,0.0129887,4,15,0,198.886,-0.525085,0.867251,1.08924,-3.82905,-0.525085
-198.393,0.999826,0.0233342,4,15,0,198.977,-0.450264,0.865557,1.32534,-3.87571,-0.450264
-197.335,0.998836,0.041804,4,31,0,199.472,-0.761839,0.851331,1.20447,-3.77111,-0.761839
-196.44,0.997383,0.0739938,2,3,0,197.427,-0.662903,0.839996,1.19899,-3.70264,-0.662903
-200.073,0.0151688,0.129278,2,3,0,200.869,-0.706961,0.832074,1.43834,-3.72336,-0.706961
-199.354,0.99907,0.0172665,6,63,0,203.519,-0.835891,0.689839,1.43054,-3.13477,-0.835891
-195.311,0.994034,0.0303718,3,7,0,200.022,-0.779159,0.697899,1.16588,-3.08887,-0.779159
-195.484,0.994182,0.0522723,2,3,0,195.504,-0.78589,0.695829,1.15271,-3.07972,-0.78589
-192.869,1,0.089244,3,7,0,195.867,-0.369532,0.747981,1.19647,-3.26821,-0.369532
-192.869,0.127561,0.153362,1,1,0,193.581,-0.369532,0.747981,1.19647,-3.26821,-0.369532
-193.211,0.957629,0.0292337,3,7,0,194.983,-0.441571,0.727846,1.09964,-3.16795,-0.441571
-193.189,0.974003,0.0451987,3,15,0,194.097,-0.264698,0.737777,1.25877,-3.24774,-0.264698
-194.074,0.979501,0.0722997,3,15,0,195.151,-0.39934,0.608876,1.25914,-2.88554,-0.39934
-194.707,0.143799,0.116415,2,7,0,195.542,-0.472496,0.624855,1.29822,-2.92423,-0.472496
-193.321,0.999932,0.0242404,5,31,0,195.204,-0.115952,0.73945,1.26717,-3.26599,-0.115952
-193.733,0.983385,0.0410378,3,11,0,194.81,-0.281337,0.773688,1.08295,-3.35296,-0.281337
-193.621,0.882913,0.0662654,4,15,0,195.513,-0.31221,0.684676,1.29403,-3.07497,-0.31221
-193.519,0.949119,0.0836024,3,7,0,195.369,-0.206383,0.6264,1.08757,-2.88662,-0.206383
-194.341,0.958626,0.12301,1,3,0,194.865,-0.269743,0.592066,1.27807,-2.86781,-0.269743
-194.341,0.00480532,0.184112,1,3,1,196.184,-0.269743,0.592066,1.27807,-2.86781,-0.269743
-192.489,0.975654,0.0293715,3,15,0,196.377,-0.256461,0.652784,1.15956,-2.95886,-0.256461
