# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1257
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model-censored-x-combined_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Ymi_y.1,Ymi_y.2,Ymi_y.3,Ymi_y.4,Ymi_y.5,Ymi_y.6,Intercept_y,bsp_y.1,sigma_y,Ymi_xstar.1,Intercept_xstar,sigma_xstar,Ycens_xstar.1,Ycens_xstar.2,Ycens_xstar.3,Ycens_xstar.4,Ycens_xstar.5,Ycens_xstar.6,Ycens_xstar.7,Ycens_xstar.8,Ycens_xstar.9,Ycens_xstar.10,Ycens_xstar.11,Ycens_xstar.12,Ycens_xstar.13,lprior,b_y_Intercept,b_xstar_Intercept
-2781.31,1,0.0078125,1,1,0,7059.57,1.97586,1.14151,-0.557949,-0.332775,1.29839,-0.578492,0.691729,-1.316,0.465306,1.06354,-1.55431,3.31586,-1.50907,-5.18027,-2.10906,-1.82793,-2.03265,-1.13616,-5.20532,-2.15487,-1.14001,-3.86384,-4.78256,-2.36658,-3.54808,-8.69321,0.691729,-1.55431
-2781.31,0,10.1835,0,1,1,2790.68,1.97586,1.14151,-0.557949,-0.332775,1.29839,-0.578492,0.691729,-1.316,0.465306,1.06354,-1.55431,3.31586,-1.50907,-5.18027,-2.10906,-1.82793,-2.03265,-1.13616,-5.20532,-2.15487,-1.14001,-3.86384,-4.78256,-2.36658,-3.54808,-8.69321,0.691729,-1.55431
-2781.31,0,0.99273,0,1,1,2788.88,1.97586,1.14151,-0.557949,-0.332775,1.29839,-0.578492,0.691729,-1.316,0.465306,1.06354,-1.55431,3.31586,-1.50907,-5.18027,-2.10906,-1.82793,-2.03265,-1.13616,-5.20532,-2.15487,-1.14001,-3.86384,-4.78256,-2.36658,-3.54808,-8.69321,0.691729,-1.55431
-2781.31,0,0.0525042,0,1,1,2794.78,1.97586,1.14151,-0.557949,-0.332775,1.29839,-0.578492,0.691729,-1.316,0.465306,1.06354,-1.55431,3.31586,-1.50907,-5.18027,-2.10906,-1.82793,-2.03265,-1.13616,-5.20532,-2.15487,-1.14001,-3.86384,-4.78256,-2.36658,-3.54808,-8.69321,0.691729,-1.55431
-2545.59,1,0.00212378,2,3,0,2789.72,1.98481,1.14755,-0.556046,-0.328487,1.2997,-0.569656,0.688059,-1.29822,0.483856,1.06265,-1.55316,3.33207,-1.508,-5.15702,-2.10949,-1.82786,-2.03061,-1.13592,-5.21148,-2.15736,-1.1397,-3.85767,-4.7847,-2.36501,-3.5621,-8.70061,0.688059,-1.55316
-1881.17,1,0.00151458,3,7,0,2556.85,1.97862,1.14114,-0.544952,-0.310988,1.30774,-0.563115,0.685114,-1.24724,0.555676,1.05016,-1.54806,3.35477,-1.51632,-5.10665,-2.1057,-1.839,-2.03227,-1.13374,-5.17875,-2.16257,-1.14022,-3.85065,-4.79859,-2.36398,-3.55765,-8.71153,0.685114,-1.54806
-1645,1,0.00123179,3,7,0,1892.04,1.97665,1.13224,-0.549975,-0.314683,1.30598,-0.56308,0.681687,-1.2341,0.593528,1.04376,-1.54444,3.36033,-1.51424,-5.07825,-2.10547,-1.84237,-2.02606,-1.13489,-5.19079,-2.14729,-1.14003,-3.84116,-4.76103,-2.36044,-3.58166,-8.71424,0.681687,-1.54444
-1410.7,1,0.00109448,3,7,0,1652.5,1.97154,1.12483,-0.554356,-0.312705,1.30309,-0.561064,0.675669,-1.2057,0.637455,1.03283,-1.54814,3.34271,-1.51624,-5.06351,-2.10582,-1.8397,-2.03564,-1.13349,-5.18497,-2.15129,-1.13905,-3.83746,-4.74516,-2.35493,-3.58798,-8.70924,0.675669,-1.54814
-1175.45,1,0.00103424,4,15,0,1424.65,1.98717,1.12656,-0.557705,-0.297059,1.3168,-0.571197,0.660053,-1.18352,0.697867,1.0219,-1.56104,3.35589,-1.50833,-5.05675,-2.10269,-1.83268,-2.03904,-1.13378,-5.17417,-2.14895,-1.13948,-3.85302,-4.75404,-2.33776,-3.58823,-8.72175,0.660053,-1.56104
-1088.79,1,0.00102109,4,15,0,1185.12,1.97739,1.11968,-0.5607,-0.299949,1.31356,-0.571328,0.662903,-1.17521,0.726247,1.01968,-1.55778,3.36831,-1.50861,-5.05492,-2.10589,-1.83173,-2.05223,-1.13376,-5.18399,-2.1501,-1.13816,-3.84744,-4.75473,-2.35295,-3.60155,-8.7276,0.662903,-1.55778
-994.128,1,0.00104054,4,15,0,1098.45,1.98451,1.13489,-0.558283,-0.296758,1.31294,-0.575975,0.669358,-1.16496,0.761789,1.01995,-1.54916,3.39129,-1.50852,-5.05614,-2.11254,-1.83787,-2.04814,-1.13436,-5.20689,-2.15034,-1.13794,-3.86664,-4.74348,-2.33826,-3.58652,-8.73693,0.669358,-1.54916
-904.612,1,0.00108516,4,15,0,1007.6,1.98677,1.14405,-0.55414,-0.278839,1.32423,-0.581866,0.667506,-1.14754,0.797039,1.00673,-1.5366,3.36494,-1.50984,-5.0213,-2.11561,-1.83376,-2.03413,-1.13424,-5.18342,-2.15461,-1.13611,-3.85252,-4.70949,-2.32726,-3.5773,-8.72287,0.667506,-1.5366
-816.931,1,0.00115107,4,15,0,911.753,1.99512,1.14792,-0.557112,-0.277945,1.32592,-0.572172,0.666955,-1.12714,0.838524,1.00004,-1.53715,3.3947,-1.50896,-5.02302,-2.11221,-1.83204,-2.02857,-1.1324,-5.18344,-2.16407,-1.13718,-3.84542,-4.68145,-2.34468,-3.56172,-8.73859,0.666955,-1.53715
-537.768,1,0.00123632,5,31,0,832.511,2.01901,1.15049,-0.506862,-0.289889,1.34862,-0.545043,0.639187,-1.0297,1.04097,0.983039,-1.53277,3.51265,-1.5022,-4.99647,-2.14584,-1.81189,-2.03545,-1.13007,-5.17054,-2.15221,-1.14075,-3.80116,-4.75113,-2.3265,-3.49895,-8.80237,0.639187,-1.53277
-446.126,0.999892,0.00134007,5,31,0,551.056,2.03593,1.13223,-0.497488,-0.292873,1.33024,-0.574742,0.64678,-0.977224,1.153,0.982042,-1.52902,3.62601,-1.48431,-4.88927,-2.16151,-1.82661,-2.02785,-1.13207,-5.07779,-2.16972,-1.1405,-3.81751,-4.62349,-2.35567,-3.51718,-8.86057,0.64678,-1.52902
-355.283,1,0.00146171,5,31,0,451.504,2.06283,1.12313,-0.504668,-0.293306,1.32038,-0.556257,0.644076,-0.892348,1.31582,0.987223,-1.53333,3.52529,-1.48969,-4.8544,-2.16107,-1.82488,-1.99418,-1.13161,-5.05688,-2.17552,-1.13812,-3.82188,-4.6665,-2.34156,-3.57937,-8.82915,0.644076,-1.53333
-169.145,0.999996,0.00160247,6,63,0,369.166,1.96387,1.12713,-0.560283,-0.349934,1.46641,-0.535537,0.666274,-0.452947,3.20891,1.02395,-1.54826,3.02368,-1.49511,-4.21152,-2.10973,-1.8758,-1.93349,-1.12961,-5.07224,-2.19151,-1.1226,-3.35934,-4.80887,-2.18881,-3.22928,-8.86842,0.666274,-1.54826
-151.663,0.999978,0.00176253,10,1023,0,180.065,1.91042,1.4496,-1.13578,-2.42767,2.20497,-0.844334,1.3914,1.26221,4.1437,0.890244,0.388583,2.03727,-4.04273,-3.88597,-1.27592,-2.70676,-1.76605,-1.05409,-3.0111,-1.90552,-1.30538,-2.04732,-1.89009,-1.32679,-2.06655,-8.38554,1.3914,0.388583
