# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1257
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model-censored-x_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept_y,bsp_y.1,sigma_y,Ymi_xstar.1,Intercept_xstar,sigma_xstar,Ycens_xstar.1,Ycens_xstar.2,Ycens_xstar.3,Ycens_xstar.4,Ycens_xstar.5,Ycens_xstar.6,Ycens_xstar.7,lprior,b_y_Intercept,b_xstar_Intercept
-139.286,1,0.0625,2,3,0,461.482,1.77353,1.43636,1.74199,-0.455851,0.998697,1.26411,-2.84086,-1.21788,-1.27398,-3.88814,-1.21018,-3.93,-1.55142,-7.83867,1.77353,0.998697
-139.286,0,14.3855,0,1,1,148.506,1.77353,1.43636,1.74199,-0.455851,0.998697,1.26411,-2.84086,-1.21788,-1.27398,-3.88814,-1.21018,-3.93,-1.55142,-7.83867,1.77353,0.998697
-139.286,0,2.43117,0,1,1,145.516,1.77353,1.43636,1.74199,-0.455851,0.998697,1.26411,-2.84086,-1.21788,-1.27398,-3.88814,-1.21018,-3.93,-1.55142,-7.83867,1.77353,0.998697
-139.286,0.00141123,0.239791,3,7,0,143.884,1.77353,1.43636,1.74199,-0.455851,0.998697,1.26411,-2.84086,-1.21788,-1.27398,-3.88814,-1.21018,-3.93,-1.55142,-7.83867,1.77353,0.998697
-120.71,0.999918,0.0187025,8,255,0,149.785,-0.653375,1.95748,2.17215,2.60138,-0.0747453,1.29367,-1.22156,-1.02195,-1.13296,-1.07389,-1.9556,-1.00298,-1.15019,-7.82994,-0.653375,-0.0747453
-114.664,0.999761,0.0258279,6,127,0,126.251,-0.546907,1.90289,1.25798,0.874424,-0.0294161,1.89563,-1.44973,-1.06978,-2.41395,-1.27667,-1.09691,-1.0054,-4.42757,-7.90147,-0.546907,-0.0294161
-100.814,0.995991,0.0405415,6,127,0,119.974,-0.487008,2.38627,0.907335,2.35079,0.725568,2.06944,-1.62732,-2.6597,-1.22126,-2.11178,-1.0671,-1.21284,-3.18316,-7.95742,-0.487008,0.725568
-97.7264,1,0.0681028,5,31,0,103.468,0.31495,2.38814,1.17761,0.916976,0.668501,1.79765,-1.35213,-3.31018,-1.48508,-1.33375,-1.11268,-2.01208,-2.61314,-7.84556,0.31495,0.668501
-93.6619,0.926776,0.12168,4,23,0,103.901,0.0828922,2.16796,1.28351,1.50329,-0.56575,1.8835,-1.97006,-2.81758,-2.04316,-1.88284,-1.65359,-1.57312,-2.99245,-7.92539,0.0828922,-0.56575
-92.3265,0.253669,0.177757,3,11,0,96.809,0.0723331,1.99616,0.963365,1.6974,-0.400654,1.68205,-2.07316,-3.00435,-2.39575,-1.87086,-1.72133,-1.50141,-2.95746,-7.81353,0.0723331,-0.400654
-90.4806,0.999523,0.0314115,6,63,0,96.324,0.214081,2.01786,0.805144,2.35903,0.109271,1.47237,-1.32247,-3.36474,-1.37363,-1.75286,-1.78357,-2.04258,-3.16966,-7.70161,0.214081,0.109271
-91.097,0.962554,0.0593793,6,63,0,96.1075,-0.0949581,2.01909,0.836857,2.29134,-0.204009,1.82194,-1.16086,-3.09783,-1.66031,-1.5103,-1.23779,-1.20502,-3.88105,-7.83588,-0.0949581,-0.204009
-94.7107,0.772683,0.100614,4,15,0,102.48,0.461953,1.9775,0.914663,0.769477,0.448616,1.92217,-1.16311,-3.53537,-1.47111,-1.57142,-1.2003,-1.82493,-3.73747,-7.85171,0.461953,0.448616
-93.4125,0.955804,0.0942521,4,31,0,100.413,0.0599515,1.93591,1.10593,1.2272,0.107763,1.85832,-1.26734,-3.46169,-1.64987,-1.79472,-1.16586,-2.7159,-3.68739,-7.84324,0.0599515,0.107763
-92.3257,0.195656,0.157179,4,31,0,101.729,-0.373022,2.18448,0.892322,2.24699,0.218276,1.64052,-1.11168,-2.84978,-1.30602,-1.70646,-1.70519,-1.17604,-3.03678,-7.77726,-0.373022,0.218276
-94.7097,0.991836,0.0248059,4,31,0,98.2308,-0.422089,2.11282,1.02635,1.9704,0.598019,1.80329,-1.10685,-3.07123,-1.27975,-1.61918,-1.49053,-1.14347,-3.74967,-7.85687,-0.422089,0.598019
-89.4924,0.996267,0.0466609,6,63,0,100.206,0.209282,2.05357,0.738763,2.06213,0.104742,1.9528,-1.44361,-3.70923,-1.14898,-1.58841,-1.44506,-1.45014,-3.75259,-7.84991,0.209282,0.104742
-91.2162,0.755604,0.0884164,4,19,0,95.285,-0.218371,2.16669,0.963032,2.52678,0.0391707,1.68266,-1.49271,-3.21893,-1.21689,-1.70952,-1.58841,-1.27118,-3.28952,-7.78924,-0.218371,0.0391707
-91.1458,0.985305,0.0801741,5,31,0,95.4985,0.198284,1.90587,0.69476,1.84901,-0.0998148,1.88936,-1.18366,-3.78396,-1.5861,-1.73449,-1.20166,-2.3108,-3.65267,-7.83494,0.198284,-0.0998148
-90.9438,0.409087,0.145472,4,15,0,99.5204,-0.0472046,2.10995,0.976166,2.10019,0.353051,1.96109,-1.47327,-2.93759,-1.30846,-1.85729,-1.11108,-1.64552,-3.24067,-7.8746,-0.0472046,0.353051
-93.5608,0.988419,0.0469594,6,63,0,97.1663,0.150275,1.96597,0.990025,2.03897,-0.135544,2.36183,-1.8766,-3.07496,-1.13928,-1.32606,-1.29377,-1.57074,-3.77885,-8.02689,0.150275,-0.135544
-95.2995,0.990408,0.0857265,5,31,0,98.701,-0.103206,2.00109,0.831826,1.97337,0.527133,2.50286,-1.14429,-3.22391,-1.03688,-1.53054,-1.26155,-1.38862,-3.4905,-8.08048,-0.103206,0.527133
-91.9526,0.566168,0.155956,3,15,0,96.4639,-0.21174,2.27095,0.763569,1.87437,-0.0690292,2.13029,-1.10317,-3.02802,-1.12618,-1.47148,-1.46594,-1.38769,-3.25624,-7.93491,-0.21174,-0.0690292
-98.5266,0.893036,0.0818862,4,15,0,100.671,-0.140603,2.21279,1.16068,1.2981,0.380006,1.21345,-1.10601,-2.78801,-1.07538,-1.48744,-1.24885,-1.37995,-2.10106,-7.66998,-0.140603,0.380006
-96.7493,0.99575,0.111548,4,15,0,102.254,-0.102299,2.29132,1.08988,1.45998,0.191463,1.2337,-1.11664,-2.68787,-1.07919,-1.45066,-1.25251,-1.34463,-2.1995,-7.66473,-0.102299,0.191463
-101.468,0.718963,0.202783,4,15,0,109.959,-0.218288,1.91802,1.3155,2.67374,-0.364005,2.45328,-2.11904,-4.72061,-1.95437,-1.01549,-1.26966,-1.80716,-3.85302,-8.1215,-0.218288,-0.364005
-101.241,0.266915,0.166634,4,15,0,108.601,0.134639,2.00864,0.931172,2.49982,-0.877289,2.48118,-2.31432,-2.82264,-1.67286,-1.01842,-1.21791,-2.00786,-3.08193,-8.17869,0.134639,-0.877289
-95.7399,0.999511,0.0386012,6,95,0,105.767,-0.081433,2.00532,0.961505,1.92038,1.17922,1.8071,-1.26556,-3.6345,-1.81841,-1.13014,-1.22514,-1.46045,-3.17632,-7.92017,-0.081433,1.17922
-91.4989,0.992823,0.0705181,5,47,0,98.8347,-0.103514,2.01629,0.881704,1.82569,0.466178,1.65436,-1.15775,-3.0532,-1.53518,-1.2761,-1.12627,-1.5312,-3.78566,-7.77543,-0.103514,0.466178
-94.5597,0.311833,0.125206,4,31,0,103.174,-0.121331,2.27262,1.07003,2.47839,-0.0824311,1.5198,-1.67625,-2.60808,-1.53429,-1.08952,-1.95952,-1.48341,-3.19402,-7.74884,-0.121331,-0.0824311
-96.3626,0.986696,0.034109,6,63,0,100.202,-0.219642,1.89418,1.26893,1.24303,-0.114923,1.60285,-1.21779,-3.06879,-1.80202,-2.53726,-1.27627,-1.95639,-2.76183,-7.79467,-0.219642,-0.114923
-92.8114,0.99159,0.0593568,6,63,0,101.338,-0.125134,2.12119,0.830184,1.44771,-0.119892,1.63444,-1.09142,-3.07367,-1.51956,-1.04281,-1.33878,-1.24836,-3.40543,-7.77066,-0.125134,-0.119892
-94.3695,0.684247,0.103715,4,15,0,96.8785,-0.187604,2.08323,0.722092,2.3353,0.419155,1.61772,-1.0497,-3.13589,-1.51172,-1.07068,-1.34505,-2.10847,-3.36982,-7.75702,-0.187604,0.419155
-97.8089,0.866497,0.0789982,5,31,0,100.877,-0.28519,2.19639,1.09202,2.44392,0.34581,2.44837,-1.06826,-3.1137,-1.52808,-1.06499,-1.41538,-1.778,-2.54525,-8.07416,-0.28519,0.34581
-93.5937,0.93574,0.0979587,4,23,0,104.329,-0.00947925,2.03317,0.76934,1.84313,0.0493989,1.35004,-1.05459,-2.88761,-1.19607,-1.22871,-1.54902,-1.53149,-3.80126,-7.67387,-0.00947925,0.0493989
-94.8998,0.111393,0.145215,4,15,0,103.825,-0.212467,2.32674,1.01521,1.71061,0.124441,2.05942,-1.02193,-3.06823,-1.29658,-1.1874,-1.61249,-1.70104,-2.6531,-7.91673,-0.212467,0.124441
-92.7546,0.999984,0.0249064,6,127,0,96.9089,0.042773,2.02328,0.954197,1.87407,0.0767545,2.11188,-1.04993,-3.97532,-1.42535,-1.23966,-1.2688,-1.68311,-3.38378,-7.92302,0.042773,0.0767545
-91.116,0.98432,0.0437892,6,63,0,96.0998,-0.151736,2.0285,0.799279,2.05093,-0.183926,1.64842,-1.06116,-3.17254,-1.37352,-1.78011,-1.45108,-1.58543,-2.97757,-7.77919,-0.151736,-0.183926
-90.6816,0.997596,0.0733011,5,31,0,92.6618,-0.00418733,2.31045,0.898745,1.73487,0.329161,1.71799,-1.08794,-2.89714,-1.45062,-1.45084,-1.66879,-1.30283,-3.1504,-7.78692,-0.00418733,0.329161
-92.8236,0.538795,0.125916,4,15,0,95.7593,-0.0727857,2.12075,0.756581,1.8207,0.0299136,1.62664,-1.09726,-2.55898,-1.54279,-1.36927,-1.50227,-1.26992,-2.69118,-7.75463,-0.0727857,0.0299136
-90.4679,0.992386,0.0672012,5,31,0,95.2005,0.373977,2.14024,0.876225,1.80305,0.084156,1.88037,-1.1163,-3.12854,-1.69237,-1.69319,-1.63778,-2.1415,-3.43375,-7.83058,0.373977,0.084156
-90.0862,0.859426,0.113062,4,19,0,92.6257,0.0482206,2.12303,0.737195,1.73288,-0.0220281,2.15207,-1.8823,-3.76189,-1.63658,-1.57134,-1.58796,-1.34369,-3.55382,-7.92926,0.0482206,-0.0220281
-94.6709,0.532594,0.1355,4,15,0,98.3263,0.154771,1.84554,0.910078,2.10204,0.117293,1.90422,-1.2237,-2.50979,-2.01725,-2.34637,-1.51925,-1.24394,-4.00717,-7.84333,0.154771,0.117293
-98.4419,0.845525,0.0721314,5,31,0,104.921,-0.0247595,2.53987,1.20434,1.55237,-0.225822,1.83968,-1.80019,-2.8676,-1.10297,-1.26778,-1.49223,-2.19631,-2.51754,-7.86536,-0.0247595,-0.225822
-101.1,0.981706,0.0835714,4,31,0,104.94,-0.0457068,1.84861,1.09517,1.30528,-0.801495,1.77874,-1.73046,-3.08013,-1.13613,-1.38296,-1.56032,-1.98953,-2.13272,-7.92296,-0.0457068,-0.801495
-91.9906,0.659006,0.134674,4,31,0,106.168,0.317504,1.93577,1.16771,0.875023,0.252984,1.63271,-1.47945,-3.17157,-1.91146,-1.85852,-2.00284,-2.09093,-3.88374,-7.76965,0.317504,0.252984
-92.7998,0.97218,0.0986426,4,15,0,97.3427,-0.00911033,1.98342,0.89171,3.14682,-0.316125,2.09837,-1.34754,-3.80913,-1.51367,-1.63028,-1.40791,-1.42462,-3.78858,-7.94261,-0.00911033,-0.316125
-92.7998,0.05762,0.154108,3,15,0,97.513,-0.00911033,1.98342,0.89171,3.14682,-0.316125,2.09837,-1.34754,-3.80913,-1.51367,-1.63028,-1.40791,-1.42462,-3.78858,-7.94261,-0.00911033,-0.316125
-94.0377,0.979168,0.0269135,6,127,0,100.013,0.0508614,2.02863,0.998369,3.09279,-0.685681,1.95678,-1.58608,-3.26713,-1.70546,-2.02484,-1.42648,-1.92081,-4.00365,-7.9508,0.0508614,-0.685681
-93.4501,0.9812,0.0428535,5,31,0,99.9331,0.109008,2.07171,0.941959,2.88407,-0.502369,2.35053,-1.39,-3.28036,-1.46672,-1.84399,-1.36729,-1.87486,-3.22963,-8.06047,0.109008,-0.502369
-90.2223,0.988139,0.0681234,4,23,0,99.1204,0.0318205,1.96764,0.893109,2.26071,-0.32795,2.25345,-1.38314,-3.05171,-1.42974,-1.75687,-1.4844,-1.94952,-3.55317,-8.00014,0.0318205,-0.32795
-90.8766,0.951712,0.109377,4,15,0,98.0485,0.120976,2.07096,0.952589,1.75778,-0.477423,2.13049,-1.38389,-3.16476,-1.43295,-1.62962,-1.72631,-1.66083,-4.33096,-7.97431,0.120976,-0.477423
-92.3122,0.0754946,0.160323,5,39,0,97.8585,0.068272,2.20139,0.814291,2.17311,0.114004,1.81835,-1.24549,-3.31727,-1.18958,-1.66697,-1.47963,-2.08396,-2.64703,-7.81144,0.068272,0.114004
-93.5958,0.998273,0.0308592,6,95,0,96.4807,0.101226,1.97082,0.653572,1.45146,0.17923,2.00353,-1.05891,-3.16826,-1.17396,-1.68425,-1.59947,-1.64646,-3.68411,-7.86527,0.101226,0.17923
-91.4513,1,0.0504832,5,63,0,100.44,-0.109836,2.23345,0.930295,1.66331,0.534991,2.05155,-1.11048,-3.20653,-1.20643,-1.37884,-1.50472,-1.65145,-3.20411,-7.91545,-0.109836,0.534991
-94.1227,0.881333,0.0823841,5,31,0,102.141,-0.0163874,1.87154,1.02661,1.77963,-0.420799,1.67688,-1.49586,-3.23262,-1.15528,-2.2388,-1.49248,-1.25978,-3.34028,-7.82132,-0.0163874,-0.420799
-98.442,0.487272,0.102081,4,31,0,105.455,-0.169821,1.94568,1.30324,2.13586,0.576632,2.19939,-1.33469,-2.50164,-2.22267,-1.31931,-1.15647,-1.19774,-4.05174,-8.00197,-0.169821,0.576632
-93.5392,0.998942,0.0518969,6,63,0,100.335,-0.200078,1.95777,0.705015,2.3647,-0.0509813,1.57335,-1.59577,-3.23514,-1.18482,-1.61194,-1.34706,-1.12299,-3.43139,-7.74508,-0.200078,-0.0509813
-92.621,0.998884,0.0836777,5,31,0,98.1772,-0.213745,2.30694,0.909236,1.79349,-0.00460573,2.09372,-1.14906,-3.06431,-1.48079,-1.23964,-1.65763,-1.12829,-3.23754,-7.92638,-0.213745,-0.00460573
-92.4493,0.642777,0.134106,4,15,0,97.0799,-0.138844,1.91288,0.753527,2.06506,0.294661,1.81632,-1.15719,-3.2978,-1.60615,-1.4602,-1.19353,-1.17874,-3.85002,-7.8151,-0.138844,0.294661
-95.3672,0.549338,0.0971643,5,31,0,99.7114,0.287115,1.90574,1.01761,1.64829,0.262111,1.86008,-1.35938,-4.40781,-1.29763,-1.1045,-2.20363,-2.31062,-2.92088,-7.83239,0.287115,0.262111
-93.6621,0.99962,0.0575286,4,15,0,97.2226,-0.0627144,2.10573,0.892548,1.65261,0.33237,1.80692,-1.32523,-2.75462,-1.19863,-1.11449,-2.00409,-2.19511,-3.84101,-7.81738,-0.0627144,0.33237
-93.4874,0.966077,0.091745,4,31,0,102.48,0.0116885,1.97299,0.972464,1.71627,-0.0966188,1.64364,-1.2309,-4.03704,-2.03344,-2.08384,-1.14505,-1.12567,-3.53095,-7.77529,0.0116885,-0.0966188
