# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = model_e2be5eb6573ecac874026412491317bd_model
# start_datetime = 2024-09-05 18:28:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/standata-177628368cc7.json
# init = 2 (Default)
# random
#   seed = 1245
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/model_e2be5eb6573ecac874026412491317bd-202409051528-1-470c15.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/model_e2be5eb6573ecac874026412491317bd-profile-202409051528-1-45bfdf.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --name=model_e2be5eb6573ecac874026412491317bd_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,ar.1,sigma,nu,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.399116
# Diagonal elements of inverse mass matrix:
# 0.000444258, 0.849562, 0.834675, 0.026671, 0.787792
-65.1519,0.883478,0.399116,3,7,0,66.648,0.0925288,8.99729,0.946496,0.574578,4.58641,-8.61744,4.46338
-63.6599,0.968096,0.399116,2,7,0,68.2734,0.0990606,9.52573,0.902865,0.612431,6.74359,-8.45636,4.67177
-65.0163,0.829465,0.399116,2,7,0,66.9659,0.0926166,9.83261,0.967298,0.518817,3.83768,-8.74809,5.2944
-65.1905,0.921581,0.399116,3,7,0,65.8634,0.0873852,9.92624,0.954441,0.477262,3.98199,-8.72845,5.64436
-66.5738,0.981457,0.399116,3,7,0,66.7401,0.0625267,8.80086,0.921858,0.461042,2.65389,-8.9632,5.73706
-64.3117,1,0.399116,3,7,0,67.6377,0.103888,10.2853,0.964104,0.60481,8.21663,-8.4664,5.19481
-65.1856,0.933154,0.399116,3,7,0,67.5147,0.107609,9.88955,0.934509,0.779864,44.7685,-10.3995,4.61669
-64.4901,1,0.399116,2,3,0,66.0685,0.109342,10.1836,0.886078,0.772982,20.8288,-8.78916,4.82583
-63.6469,0.870406,0.399116,3,7,0,66.5907,0.0863815,9.4624,0.919964,0.584064,6.15299,-8.48573,5.22971
-65.4258,0.842705,0.399116,3,15,0,66.9473,0.078302,8.9751,0.940908,0.773795,10.5267,-8.3894,5.13831
-67.9713,0.949524,0.399116,3,7,0,69.4697,0.0668337,8.79922,0.933621,0.825793,45.5111,-10.427,5.52437
-67.0384,0.914292,0.399116,3,7,0,70.0909,0.0972033,9.57105,0.974302,0.876602,20.9369,-8.76781,4.80809
-68.4877,0.931737,0.399116,2,3,0,69.1366,0.105467,9.3164,0.969955,0.928875,20.5297,-8.74181,4.14851
