# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = model_e2be5eb6573ecac874026412491317bd_model
# start_datetime = 2024-09-05 18:28:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/standata-177628368cc7.json
# init = 2 (Default)
# random
#   seed = 1245
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/model_e2be5eb6573ecac874026412491317bd-202409051528-3-470c15.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/model_e2be5eb6573ecac874026412491317bd-profile-202409051528-3-45bfdf.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --name=model_e2be5eb6573ecac874026412491317bd_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,ar.1,sigma,nu,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.388336
# Diagonal elements of inverse mass matrix:
# 0.000459643, 0.834881, 0.912687, 0.0212678, 0.707355
-66.736,0.869972,0.388336,3,7,0,69.745,0.120629,10.645,0.962176,0.675691,4.5752,-8.73306,4.73419
-64.8351,0.977869,0.388336,3,15,0,67.7101,0.0861484,9.07425,0.934056,0.559013,10.4978,-8.3781,4.85298
-65.785,0.958611,0.388336,3,7,0,66.3502,0.104736,9.80769,0.959293,0.596667,3.70122,-8.77274,4.67563
-67.3099,0.915245,0.388336,3,15,0,68.8913,0.0988459,8.53177,0.962586,0.640097,16.4332,-8.54016,3.68833
-68.5377,0.977209,0.388336,3,7,0,70.1065,0.0631671,10.2238,0.974123,0.730252,6.27076,-8.54049,7.12861
-66.3614,1,0.388336,3,7,0,68.7206,0.108221,8.94937,0.942763,0.616543,13.0255,-8.42077,3.64655
-65.4798,0.661688,0.388336,2,3,0,69.7369,0.106631,9.34332,0.847798,0.575798,9.91737,-8.37568,4.11838
-67.9047,0.747471,0.388336,3,7,0,69.8907,0.075149,9.69716,0.978512,0.638789,2.96321,-8.91644,6.01485
-67.8739,0.974093,0.388336,3,11,0,69.3575,0.0758834,8.37107,0.985556,0.6078,23.8961,-8.91812,4.65278
-65.7182,0.997024,0.388336,3,7,0,68.494,0.0916074,9.46946,0.969164,0.775814,9.46261,-8.40272,4.9807
-65.7066,0.965716,0.388336,4,15,0,68.6863,0.123829,10.8232,0.975161,0.681863,10.5837,-8.52061,4.75553
-66.5684,0.712669,0.388336,2,7,0,69.156,0.119994,11.5372,0.98038,0.739475,9.33502,-8.63727,5.65752
-63.2701,0.997883,0.388336,3,15,0,67.2299,0.0986655,9.65825,0.913197,0.690041,23.142,-8.87432,4.82364
