d,two_theta,intensity,h,k,l,mult,phase,id
5.3756,16.4773,27.01,1,1,0,4,Anglesite,96-900-4485
4.264,20.8157,797.25,1,0,1,4,Anglesite,96-900-4485
4.236,20.9546,299.41,0,2,0,2,Anglesite,96-900-4485
3.8088,23.3365,532.2,1,1,1,8,Anglesite,96-900-4485
3.6178,24.587,214.91,1,2,0,4,Anglesite,96-900-4485
3.4774,25.5958,280.54,2,0,0,2,Anglesite,96-900-4485
3.3323,26.7312,829.91,0,2,1,4,Anglesite,96-900-4485
3.217,27.7078,677.33,2,1,0,4,Anglesite,96-900-4485
3.0051,29.7045,1000,1,2,1,8,Anglesite,96-900-4485
2.7634,32.3717,362.77,2,1,1,8,Anglesite,96-900-4485
2.6986,33.1701,462.67,0,0,2,2,Anglesite,96-900-4485
2.6878,33.3082,20.29,2,2,0,4,Anglesite,96-900-4485
2.6165,34.2428,97.46,1,3,0,4,Anglesite,96-900-4485
2.4118,37.2519,0,1,1,2,8,Anglesite,96-900-4485
2.406,37.3456,180.66,2,2,1,8,Anglesite,96-900-4485
2.3544,38.1939,19,1,3,1,8,Anglesite,96-900-4485
2.276,39.564,199.74,0,2,2,4,Anglesite,96-900-4485
2.2361,40.3007,51.57,3,1,0,4,Anglesite,96-900-4485
2.1922,41.144,62.88,2,3,0,4,Anglesite,96-900-4485
2.1631,41.7222,283.88,1,2,2,8,Anglesite,96-900-4485
2.132,42.361,56.67,2,0,2,4,Anglesite,96-900-4485
2.1301,42.3998,1.6,3,0,1,4,Anglesite,96-900-4485
2.118,42.6542,1.69,0,4,0,2,Anglesite,96-900-4485
2.0675,43.7487,467.92,2,1,2,8,Anglesite,96-900-4485
2.0658,43.7865,515.15,3,1,1,8,Anglesite,96-900-4485
2.0337,44.5157,3.91,3,2,0,4,Anglesite,96-900-4485
2.031,44.5759,354.65,2,3,1,8,Anglesite,96-900-4485
2.0261,44.69,327.67,1,4,0,4,Anglesite,96-900-4485
1.9716,45.9952,225.06,0,4,1,4,Anglesite,96-900-4485
1.9044,47.7182,40.97,2,2,2,8,Anglesite,96-900-4485
1.9031,47.7535,1.59,3,2,1,8,Anglesite,96-900-4485
1.8969,47.9186,1.12,1,4,1,8,Anglesite,96-900-4485
1.8785,48.4166,73.05,1,3,2,8,Anglesite,96-900-4485
1.8089,50.4077,0.25,2,4,0,4,Anglesite,96-900-4485
1.7919,50.9212,183.67,3,3,0,4,Anglesite,96-900-4485
