two_theta,intensity,sample
10,53.54,lead_iv_oxide
10.05,43.59,lead_iv_oxide
10.1,52.02,lead_iv_oxide
10.15,57.56,lead_iv_oxide
10.2,66.07,lead_iv_oxide
10.25,50.41,lead_iv_oxide
10.3,52.76,lead_iv_oxide
10.35,64.35,lead_iv_oxide
10.4,35.67,lead_iv_oxide
10.45,48.16,lead_iv_oxide
10.5,52.68,lead_iv_oxide
10.55,60.73,lead_iv_oxide
10.6,42.67,lead_iv_oxide
10.65,45.75,lead_iv_oxide
10.7,54.19,lead_iv_oxide
10.75,64.33,lead_iv_oxide
10.8,52.52,lead_iv_oxide
10.85,57.15,lead_iv_oxide
10.9,51.35,lead_iv_oxide
10.95,49.81,lead_iv_oxide
11,44.05,lead_iv_oxide
11.05,45.6,lead_iv_oxide
11.1,59.17,lead_iv_oxide
11.15,43.15,lead_iv_oxide
11.2,66.14,lead_iv_oxide
11.25,55.29,lead_iv_oxide
11.3,54.36,lead_iv_oxide
11.35,41.36,lead_iv_oxide
11.4,49.64,lead_iv_oxide
11.45,57.57,lead_iv_oxide
11.5,38.93,lead_iv_oxide
11.55,33.92,lead_iv_oxide
11.6,51.07,lead_iv_oxide
11.65,44.71,lead_iv_oxide
11.7,54.42,lead_iv_oxide
11.75,32.73,lead_iv_oxide
11.8,43.67,lead_iv_oxide
11.85,56.41,lead_iv_oxide
11.9,42.46,lead_iv_oxide
11.95,50.48,lead_iv_oxide
12,34.65,lead_iv_oxide
12.05,47.25,lead_iv_oxide
12.1,38.8,lead_iv_oxide
12.15,53.3,lead_iv_oxide
12.2,36.23,lead_iv_oxide
12.25,35.7,lead_iv_oxide
12.3,41.5,lead_iv_oxide
12.35,35.77,lead_iv_oxide
12.4,47.97,lead_iv_oxide
12.45,44.31,lead_iv_oxide
12.5,35.76,lead_iv_oxide
12.55,52.93,lead_iv_oxide
12.6,33.94,lead_iv_oxide
12.65,51.15,lead_iv_oxide
12.7,33.68,lead_iv_oxide
12.75,44,lead_iv_oxide
12.8,37.54,lead_iv_oxide
12.85,45.29,lead_iv_oxide
12.9,38.8,lead_iv_oxide
12.95,52.31,lead_iv_oxide
13,42.32,lead_iv_oxide
13.05,42.25,lead_iv_oxide
13.1,42.29,lead_iv_oxide
13.15,25.03,lead_iv_oxide
13.2,38.02,lead_iv_oxide
13.25,43.73,lead_iv_oxide
13.3,38.59,lead_iv_oxide
13.35,29.54,lead_iv_oxide
13.4,41.63,lead_iv_oxide
13.45,39.33,lead_iv_oxide
13.5,40.11,lead_iv_oxide
13.55,39.87,lead_iv_oxide
13.6,38.3,lead_iv_oxide
13.65,38.01,lead_iv_oxide
13.7,33.95,lead_iv_oxide
13.75,40.36,lead_iv_oxide
13.8,18.94,lead_iv_oxide
13.85,46.38,lead_iv_oxide
13.9,23.58,lead_iv_oxide
13.95,45.72,lead_iv_oxide
14,26.32,lead_iv_oxide
14.05,45.7,lead_iv_oxide
14.1,29.69,lead_iv_oxide
14.15,34.45,lead_iv_oxide
14.2,37.04,lead_iv_oxide
14.25,33.6,lead_iv_oxide
14.3,56.92,lead_iv_oxide
14.35,30.81,lead_iv_oxide
14.4,31.6,lead_iv_oxide
14.45,26.22,lead_iv_oxide
14.5,33.29,lead_iv_oxide
14.55,46.16,lead_iv_oxide
14.6,27.82,lead_iv_oxide
14.65,39.64,lead_iv_oxide
14.7,37.93,lead_iv_oxide
14.75,24.81,lead_iv_oxide
14.8,27.05,lead_iv_oxide
14.85,36.59,lead_iv_oxide
14.9,21.85,lead_iv_oxide
14.95,36.85,lead_iv_oxide
15,31.28,lead_iv_oxide
15.05,42.92,lead_iv_oxide
15.1,36.83,lead_iv_oxide
15.15,37.41,lead_iv_oxide
15.2,39.82,lead_iv_oxide
15.25,49.4,lead_iv_oxide
15.3,27.42,lead_iv_oxide
15.35,27.1,lead_iv_oxide
15.4,38.63,lead_iv_oxide
15.45,31.57,lead_iv_oxide
15.5,27.29,lead_iv_oxide
15.55,23.69,lead_iv_oxide
15.6,39.2,lead_iv_oxide
15.65,27.85,lead_iv_oxide
15.7,30.56,lead_iv_oxide
15.75,27.74,lead_iv_oxide
15.8,38.61,lead_iv_oxide
15.85,32.54,lead_iv_oxide
15.9,26.98,lead_iv_oxide
15.95,32.78,lead_iv_oxide
16,27.79,lead_iv_oxide
16.05,28.03,lead_iv_oxide
16.1,35.09,lead_iv_oxide
16.15,34.03,lead_iv_oxide
16.2,28.21,lead_iv_oxide
16.25,33.3,lead_iv_oxide
16.3,34.82,lead_iv_oxide
16.35,36.01,lead_iv_oxide
16.4,44.55,lead_iv_oxide
16.45,20.28,lead_iv_oxide
16.5,33.09,lead_iv_oxide
16.55,25.96,lead_iv_oxide
16.6,30.77,lead_iv_oxide
16.65,27.85,lead_iv_oxide
16.7,23.65,lead_iv_oxide
16.75,29.08,lead_iv_oxide
16.8,20.41,lead_iv_oxide
16.85,37.8,lead_iv_oxide
16.9,27.64,lead_iv_oxide
16.95,29.27,lead_iv_oxide
17,27.67,lead_iv_oxide
17.05,28.37,lead_iv_oxide
17.1,17.06,lead_iv_oxide
17.15,26.59,lead_iv_oxide
17.2,30.73,lead_iv_oxide
17.25,17.87,lead_iv_oxide
17.3,35.53,lead_iv_oxide
17.35,24.99,lead_iv_oxide
17.4,30.59,lead_iv_oxide
17.45,22.56,lead_iv_oxide
17.5,35.43,lead_iv_oxide
17.55,23.19,lead_iv_oxide
17.6,24.03,lead_iv_oxide
17.65,34.85,lead_iv_oxide
17.7,28.12,lead_iv_oxide
17.75,35.85,lead_iv_oxide
17.8,23.93,lead_iv_oxide
17.85,21.88,lead_iv_oxide
17.9,24.71,lead_iv_oxide
17.95,37.52,lead_iv_oxide
18,18.47,lead_iv_oxide
18.05,34.81,lead_iv_oxide
18.1,28.2,lead_iv_oxide
18.15,28.45,lead_iv_oxide
18.2,23.62,lead_iv_oxide
18.25,36.32,lead_iv_oxide
18.3,19.94,lead_iv_oxide
18.35,21.96,lead_iv_oxide
18.4,37.19,lead_iv_oxide
18.45,28.09,lead_iv_oxide
18.5,27.66,lead_iv_oxide
18.55,33.61,lead_iv_oxide
18.6,27.91,lead_iv_oxide
18.65,34.49,lead_iv_oxide
18.7,14.07,lead_iv_oxide
18.75,22.01,lead_iv_oxide
18.8,25.87,lead_iv_oxide
18.85,24.97,lead_iv_oxide
18.9,18.67,lead_iv_oxide
18.95,30.45,lead_iv_oxide
19,23.73,lead_iv_oxide
19.05,28.98,lead_iv_oxide
19.1,24.46,lead_iv_oxide
19.15,28.66,lead_iv_oxide
19.2,19.78,lead_iv_oxide
19.25,26.16,lead_iv_oxide
19.3,23.96,lead_iv_oxide
19.35,27.99,lead_iv_oxide
19.4,17.19,lead_iv_oxide
19.45,17.73,lead_iv_oxide
19.5,27.27,lead_iv_oxide
19.55,11.69,lead_iv_oxide
19.6,23.46,lead_iv_oxide
19.65,24.42,lead_iv_oxide
19.7,19,lead_iv_oxide
19.75,18.81,lead_iv_oxide
19.8,25.82,lead_iv_oxide
19.85,16.34,lead_iv_oxide
19.9,21.16,lead_iv_oxide
19.95,25.66,lead_iv_oxide
20,19.39,lead_iv_oxide
20.05,29.52,lead_iv_oxide
20.1,22.36,lead_iv_oxide
20.15,30.98,lead_iv_oxide
20.2,16.64,lead_iv_oxide
20.25,38.91,lead_iv_oxide
20.3,16.57,lead_iv_oxide
20.35,25.95,lead_iv_oxide
20.4,23.29,lead_iv_oxide
20.45,29.55,lead_iv_oxide
20.5,17.39,lead_iv_oxide
20.55,14.61,lead_iv_oxide
20.6,31.13,lead_iv_oxide
20.65,18.7,lead_iv_oxide
20.7,17.87,lead_iv_oxide
20.75,27.46,lead_iv_oxide
20.8,18.57,lead_iv_oxide
20.85,14.97,lead_iv_oxide
20.9,38.94,lead_iv_oxide
20.95,17.79,lead_iv_oxide
21,35.1,lead_iv_oxide
21.05,24.72,lead_iv_oxide
21.1,34.62,lead_iv_oxide
21.15,15.84,lead_iv_oxide
21.2,30.1,lead_iv_oxide
21.25,22.39,lead_iv_oxide
21.3,26.88,lead_iv_oxide
21.35,12.85,lead_iv_oxide
21.4,28.73,lead_iv_oxide
21.45,38.24,lead_iv_oxide
21.5,4.99,lead_iv_oxide
21.55,36.17,lead_iv_oxide
21.6,10.91,lead_iv_oxide
21.65,29.24,lead_iv_oxide
21.7,10.17,lead_iv_oxide
21.75,29.82,lead_iv_oxide
21.8,21.97,lead_iv_oxide
21.85,28.98,lead_iv_oxide
21.9,15.91,lead_iv_oxide
21.95,35.94,lead_iv_oxide
22,16.84,lead_iv_oxide
22.05,13.12,lead_iv_oxide
22.1,23.84,lead_iv_oxide
22.15,25.88,lead_iv_oxide
22.2,25.35,lead_iv_oxide
22.25,26.49,lead_iv_oxide
22.3,12.98,lead_iv_oxide
22.35,34.33,lead_iv_oxide
22.4,16.99,lead_iv_oxide
22.45,28.94,lead_iv_oxide
22.5,12.34,lead_iv_oxide
22.55,24.41,lead_iv_oxide
22.6,19.79,lead_iv_oxide
22.65,21.18,lead_iv_oxide
22.7,33.83,lead_iv_oxide
22.75,23.87,lead_iv_oxide
22.8,27.62,lead_iv_oxide
22.85,24.58,lead_iv_oxide
22.9,15.72,lead_iv_oxide
22.95,27,lead_iv_oxide
23,18.49,lead_iv_oxide
23.05,33.53,lead_iv_oxide
23.1,29.34,lead_iv_oxide
23.15,26.08,lead_iv_oxide
23.2,32.88,lead_iv_oxide
23.25,19.07,lead_iv_oxide
23.3,32.72,lead_iv_oxide
23.35,37.75,lead_iv_oxide
23.4,12.36,lead_iv_oxide
23.45,29.23,lead_iv_oxide
23.5,24.94,lead_iv_oxide
23.55,21.36,lead_iv_oxide
23.6,41.32,lead_iv_oxide
23.65,21.87,lead_iv_oxide
23.7,33.56,lead_iv_oxide
23.75,23.27,lead_iv_oxide
