time_d,pipe,pb_ppb,fraction,pipe_config,main,lsl
1,five,61.14,0.45 um filtered,full lsl,iron,five.full lsl
5,five,124.3,0.45 um filtered,full lsl,iron,five.full lsl
8,five,60.12,0.45 um filtered,full lsl,iron,five.full lsl
12,five,65.85,0.45 um filtered,full lsl,iron,five.full lsl
15,five,69.4,0.45 um filtered,full lsl,iron,five.full lsl
19,five,67.12,0.45 um filtered,full lsl,iron,five.full lsl
22,five,60.52,0.45 um filtered,full lsl,iron,five.full lsl
26,five,59.77,0.45 um filtered,full lsl,iron,five.full lsl
29,five,66.62,0.45 um filtered,full lsl,iron,five.full lsl
33,five,67.21,0.45 um filtered,full lsl,iron,five.full lsl
36,five,62.53,0.45 um filtered,full lsl,iron,five.full lsl
47,five,107.3,0.45 um filtered,full lsl,iron,five.full lsl
50,five,112.7,0.45 um filtered,full lsl,iron,five.full lsl
54,five,113.8,0.45 um filtered,full lsl,iron,five.full lsl
57,five,110.4,0.45 um filtered,full lsl,iron,five.full lsl
61,five,124.6,0.45 um filtered,full lsl,iron,five.full lsl
64,five,113.7,0.45 um filtered,full lsl,iron,five.full lsl
68,five,91.18,0.45 um filtered,full lsl,iron,five.full lsl
71,five,89.89,0.45 um filtered,full lsl,iron,five.full lsl
78,five,77.01,0.45 um filtered,full lsl,iron,five.full lsl
82,five,80.66,0.45 um filtered,full lsl,iron,five.full lsl
85,five,86.91,0.45 um filtered,full lsl,iron,five.full lsl
89,five,98.73,0.45 um filtered,full lsl,iron,five.full lsl
92,five,187.6,0.45 um filtered,full lsl,iron,five.full lsl
99,five,178.4,0.45 um filtered,full lsl,iron,five.full lsl
103,five,153.6,0.45 um filtered,full lsl,iron,five.full lsl
106,five,135.3,0.45 um filtered,full lsl,iron,five.full lsl
110,five,165.6,0.45 um filtered,full lsl,iron,five.full lsl
113,five,120.5,0.45 um filtered,full lsl,iron,five.full lsl
117,five,117.4,0.45 um filtered,full lsl,iron,five.full lsl
120,five,119,0.45 um filtered,full lsl,iron,five.full lsl
127,five,136.7,0.45 um filtered,full lsl,iron,five.full lsl
131,five,138.1,0.45 um filtered,full lsl,iron,five.full lsl
134,five,151.2,0.45 um filtered,full lsl,iron,five.full lsl
138,five,154.7,0.45 um filtered,full lsl,iron,five.full lsl
141,five,139,0.45 um filtered,full lsl,iron,five.full lsl
145,five,129.2,0.45 um filtered,full lsl,iron,five.full lsl
148,five,141.2,0.45 um filtered,full lsl,iron,five.full lsl
152,five,138.5,0.45 um filtered,full lsl,iron,five.full lsl
155,five,155.7,0.45 um filtered,full lsl,iron,five.full lsl
