dataset.x,location,param,date,sample_time,replicate,value,flag,detection_limit,unit,datasets.x,dataset.y,selector,analyte,modifiers,datasets.y,analysis_code,column,national_variable_code,variable_type,description,national_method_code,method_title,vmv_code,dataset,label,site_type,longitude,latitude,province,station_name,datasets,drainage_basin,elevation_m,lake_area_ha,basin_area_km2,flushing_rate,shorelength_km,max_eff_length_km,max_eff_width_km,max_depth_m,mean_depth_m,data_url
water_ns,NS01ED0095,110707,2008-08-19,12:55:00,1,8,NA,NA,REL UNITS,"lrtap, nltwqm",water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Upper Silver Lake,Lake,-65.2467,44.2828,NS,UPPER SILVER LAKE IN MIDDLE OF SOUTH BASIN,"lrtap, nltwqm",Mersey River,90,24.3,0.9,1.35,4.8,1,0.2,5.75,2.33,NA
water_ns,NS01ED0095,110707,2008-10-21,11:04:00,1,8,NA,NA,REL UNITS,"lrtap, nltwqm",water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Upper Silver Lake,Lake,-65.2467,44.2828,NS,UPPER SILVER LAKE IN MIDDLE OF SOUTH BASIN,"lrtap, nltwqm",Mersey River,90,24.3,0.9,1.35,4.8,1,0.2,5.75,2.33,NA
water_ns,NS01ED0095,110707,2009-06-02,11:00:00,1,19,NA,NA,REL UNITS,"lrtap, nltwqm",water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Upper Silver Lake,Lake,-65.2467,44.2828,NS,UPPER SILVER LAKE IN MIDDLE OF SOUTH BASIN,"lrtap, nltwqm",Mersey River,90,24.3,0.9,1.35,4.8,1,0.2,5.75,2.33,NA
water_ns,NS01ED0095,110707,2009-06-05,12:50:00,1,18,NA,NA,REL UNITS,"lrtap, nltwqm",water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Upper Silver Lake,Lake,-65.2467,44.2828,NS,UPPER SILVER LAKE IN MIDDLE OF SOUTH BASIN,"lrtap, nltwqm",Mersey River,90,24.3,0.9,1.35,4.8,1,0.2,5.75,2.33,NA
water_ns,NS01ED0095,110707,2009-08-20,12:25:00,1,12,NA,NA,REL UNITS,"lrtap, nltwqm",water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Upper Silver Lake,Lake,-65.2467,44.2828,NS,UPPER SILVER LAKE IN MIDDLE OF SOUTH BASIN,"lrtap, nltwqm",Mersey River,90,24.3,0.9,1.35,4.8,1,0.2,5.75,2.33,NA
water_ns,NS01ED0095,110707,2009-10-20,10:25:00,1,15,NA,NA,REL UNITS,"lrtap, nltwqm",water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Upper Silver Lake,Lake,-65.2467,44.2828,NS,UPPER SILVER LAKE IN MIDDLE OF SOUTH BASIN,"lrtap, nltwqm",Mersey River,90,24.3,0.9,1.35,4.8,1,0.2,5.75,2.33,NA
water_ns,NS01ED0095,110707,2010-06-02,11:09:00,1,20,NA,NA,REL UNITS,"lrtap, nltwqm",water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Upper Silver Lake,Lake,-65.2467,44.2828,NS,UPPER SILVER LAKE IN MIDDLE OF SOUTH BASIN,"lrtap, nltwqm",Mersey River,90,24.3,0.9,1.35,4.8,1,0.2,5.75,2.33,NA
water_ns,NS01ED0095,110707,2010-06-27,17:29:00,1,16,NA,NA,REL UNITS,"lrtap, nltwqm",water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Upper Silver Lake,Lake,-65.2467,44.2828,NS,UPPER SILVER LAKE IN MIDDLE OF SOUTH BASIN,"lrtap, nltwqm",Mersey River,90,24.3,0.9,1.35,4.8,1,0.2,5.75,2.33,NA
water_ns,NS01ED0095,110707,2010-08-18,14:20:00,1,13,NA,NA,REL UNITS,"lrtap, nltwqm",water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Upper Silver Lake,Lake,-65.2467,44.2828,NS,UPPER SILVER LAKE IN MIDDLE OF SOUTH BASIN,"lrtap, nltwqm",Mersey River,90,24.3,0.9,1.35,4.8,1,0.2,5.75,2.33,NA
water_ns,NS01ED0095,110707,2010-10-25,11:36:00,1,9,NA,NA,REL UNITS,"lrtap, nltwqm",water_ns,Colour/Apparent,Colour,Apparent,"lrtap, nltwqm",110707_02,COLOUR APPARENT_REL UNITS_110707_02,437,Physical,Hazen colour unit,2881,Automated determination of apparent colour by platinum-cobalt standard,110707,water_ns,Upper Silver Lake,Lake,-65.2467,44.2828,NS,UPPER SILVER LAKE IN MIDDLE OF SOUTH BASIN,"lrtap, nltwqm",Mersey River,90,24.3,0.9,1.35,4.8,1,0.2,5.75,2.33,NA
