# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=carmodel_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,ar.1,sigma,b_Intercept
-203.982,0.666667,0.125,1,3,1,258.786,-0.681513,0.591009,1.61704,-0.681513
-203.982,0,7.84723,0,1,1,204.629,-0.681513,0.591009,1.61704,-0.681513
-203.982,0,1.10816,0,1,1,204.946,-0.681513,0.591009,1.61704,-0.681513
-194.178,0.673798,0.0986461,2,3,0,200.211,-0.647377,0.624614,1.22767,-0.647377
-192.896,0.984127,0.0492733,3,11,0,196.278,0.0413654,0.806246,1.1116,0.0413654
-192,1,0.0677102,3,11,0,193.562,-0.524691,0.701547,1.14492,-0.524691
-192,0.178639,0.109163,1,3,0,193.414,-0.524691,0.701547,1.14492,-0.524691
-195.8,0.976347,0.0146411,4,15,0,197.062,-0.724462,0.695001,1.3679,-0.724462
-193.875,0.996054,0.0239276,3,7,0,196.7,-0.672268,0.662861,1.25164,-0.672268
-194.533,0.825946,0.0431621,2,7,0,198.765,-0.717928,0.679916,1.09416,-0.717928
-192.586,1,0.0465001,2,3,0,194.471,-0.633035,0.723287,1.16732,-0.633035
-192.512,0.917822,0.0879955,2,3,0,193.013,-0.592655,0.691246,1.19544,-0.592655
-192.512,0.00157314,0.129357,2,3,0,193.655,-0.592655,0.691246,1.19544,-0.592655
-192.075,1,0.0107889,4,15,0,192.554,-0.544331,0.705607,1.18807,-0.544331
-191.161,0.997512,0.0208976,4,31,0,193.355,-0.248639,0.695308,1.12054,-0.248639
-192.231,0.95688,0.0400654,3,15,0,193.035,-0.337546,0.752414,1.06987,-0.337546
-192.58,0.958525,0.0674548,2,3,0,193.012,-0.280706,0.730915,1.30353,-0.280706
-191.494,0.486863,0.113592,2,3,0,192.308,-0.221162,0.648866,1.1814,-0.221162
-191.426,0.981485,0.0455314,3,7,0,192.348,-0.0736143,0.751293,1.11837,-0.0736143
-191.247,0.991267,0.082043,3,15,0,191.677,-0.242374,0.665924,1.1649,-0.242374
-193.342,0.054219,0.150954,2,7,0,193.924,-0.161077,0.824936,1.2412,-0.161077
-191.476,0.998166,0.0172382,4,31,0,195.885,-0.290129,0.72387,1.23248,-0.290129
-192.242,0.982278,0.0325196,3,7,0,192.736,-0.368784,0.737721,1.27309,-0.368784
-193.223,0.941672,0.0579971,2,3,0,193.683,-0.50356,0.705876,1.0512,-0.50356
-191.662,0.98073,0.0911601,1,3,0,193.088,-0.407151,0.714659,1.10593,-0.407151
-193.06,0.0990013,0.159032,2,3,0,193.444,-0.478026,0.798953,1.24657,-0.478026
-191.931,0.998072,0.0226153,3,7,0,193.622,-0.409736,0.707973,1.08759,-0.409736
-191.919,0.981046,0.0415415,3,15,0,192.772,-0.334517,0.703111,1.07315,-0.334517
-193.092,0.342378,0.072041,2,3,0,195.555,-0.270283,0.748557,1.32359,-0.270283
-192.9,0.999086,0.0212183,4,15,0,193.563,-0.250556,0.729346,1.32141,-0.250556
-191.048,0.994262,0.0385275,2,5,0,192.922,-0.237887,0.705258,1.1888,-0.237887
-191.232,0.870261,0.068369,3,15,0,192.496,-0.0761176,0.743745,1.13641,-0.0761176
-191.505,0.618816,0.0860573,2,3,0,192.682,-0.0914857,0.736898,1.23045,-0.0914857
-191.631,0.92975,0.0551184,3,7,0,192.469,-0.150571,0.708185,1.07832,-0.150571
-192.356,0.995669,0.0810563,2,7,0,193.128,0.0916158,0.706802,1.25831,0.0916158
-192.356,0.0390536,0.140878,1,3,0,193.4,0.0916158,0.706802,1.25831,0.0916158
-193.38,0.991481,0.020012,3,15,0,193.511,0.106791,0.740657,1.03995,0.106791
-192.888,0.994563,0.0344768,3,7,0,194.171,-0.112784,0.713046,1.32166,-0.112784
-191.471,0.990191,0.0593603,2,7,0,194.31,-0.334185,0.728463,1.10418,-0.334185
-192.253,0.959805,0.100223,2,7,0,194.398,0.153834,0.710349,1.22264,0.153834
-192.448,0.561129,0.155441,1,1,0,193.006,0.125202,0.696229,1.09982,0.125202
-193.224,0.595305,0.0880042,2,7,0,195.93,-0.0520081,0.656449,1.04486,-0.0520081
-192.513,0.700243,0.0547027,2,3,0,198.573,0.092055,0.781797,1.2411,0.092055
-198.834,0.69282,0.0443831,2,3,0,199.362,0.157236,0.914525,1.30483,0.157236
-196.167,0.995052,0.0354596,3,7,0,200.453,-0.0647174,0.530297,1.10096,-0.0647174
-192.381,0.961392,0.0593933,3,7,0,196.376,-0.277301,0.787452,1.24523,-0.277301
-191.992,1,0.0910146,2,7,0,192.707,0.0248748,0.657107,1.17278,0.0248748
-191.204,0.641844,0.152117,2,3,0,191.85,-0.0978395,0.721846,1.11745,-0.0978395
-191.204,0.491308,0.10728,1,3,0,192.887,-0.0978395,0.721846,1.11745,-0.0978395
-192.998,0.989782,0.0531766,3,15,0,194.107,-0.670942,0.709735,1.2058,-0.670942
-196.374,0.599227,0.0861369,3,7,0,196.896,-0.722445,0.573322,1.20979,-0.722445
-193.318,0.972215,0.0555479,3,7,0,197.168,-0.729131,0.732229,1.16787,-0.729131
-194.662,0.801477,0.0857775,2,3,0,195.476,-0.847607,0.782789,1.13196,-0.847607
-195.242,0.867967,0.0887557,2,3,0,195.529,-0.888411,0.766409,1.2854,-0.888411
-195.242,0.00456779,0.106924,1,1,0,197.443,-0.888411,0.766409,1.2854,-0.888411
-195.024,0.989944,0.0179152,3,15,0,198.003,-0.817736,0.673902,1.16161,-0.817736
-194.578,0.952304,0.0286696,4,15,0,197.228,-0.709821,0.705132,1.07025,-0.709821
-194.069,0.99618,0.0418964,2,7,0,195.417,-0.771193,0.742102,1.11619,-0.771193
-195.116,0.631156,0.067224,2,3,0,198.302,-0.704512,0.718159,1.34938,-0.704512
-195.333,0.989403,0.0475743,3,7,0,196.182,-0.70493,0.758527,1.03616,-0.70493
-193.858,0.826046,0.0746925,3,7,0,196.881,-0.634385,0.72011,1.0641,-0.634385
-191.898,0.873628,0.0814172,2,7,0,196.16,-0.253693,0.665862,1.25348,-0.253693
-194.152,0.56311,0.0983681,2,3,0,195.185,-0.332672,0.554493,1.25225,-0.332672
-194.632,0.808644,0.0603568,2,5,0,197.113,-0.513611,0.61067,1.32328,-0.513611
-192.402,0.946077,0.0633179,2,5,0,195.249,-0.58321,0.760391,1.1698,-0.58321
-193.702,0.568092,0.0891972,2,3,0,194.356,-0.579229,0.659596,1.08093,-0.579229
-194.923,0.736631,0.0557825,1,1,0,195.11,-0.565936,0.6547,1.03482,-0.565936
-193.835,1,0.0501726,2,7,0,195.167,-0.593693,0.680483,1.0655,-0.593693
-195.96,0.590261,0.0788361,2,3,0,197.16,-0.549499,0.735181,0.986041,-0.549499
-198.124,1,0.0520693,3,7,0,198.646,-0.837956,0.726142,1.44025,-0.837956
-192.761,0.857061,0.0813807,3,7,0,198.781,-0.437563,0.802717,1.2147,-0.437563
-192.669,0.967107,0.0940129,1,1,0,193.324,-0.433091,0.804901,1.17228,-0.433091
-192.669,0.102512,0.136161,2,3,0,193.957,-0.433091,0.804901,1.17228,-0.433091
-192.38,0.82244,0.0331234,3,7,0,198.022,-0.185114,0.607093,1.1987,-0.185114
-193.432,0.938805,0.0357184,3,15,0,195.694,-0.297393,0.711748,1.0136,-0.297393
-192.406,0.998676,0.048779,2,7,0,194.485,-0.330827,0.762176,1.06787,-0.330827
-191.78,1,0.0749658,3,11,0,192.623,-0.0347646,0.65402,1.18021,-0.0347646
-191.78,0.259181,0.115008,1,1,0,192.624,-0.0347646,0.65402,1.18021,-0.0347646
-191.222,0.989155,0.0397112,3,15,0,194.206,-0.122463,0.675318,1.17303,-0.122463
-192.928,0.830492,0.059539,3,7,0,193.582,-0.275696,0.679176,1.31912,-0.275696
-192.38,0.99998,0.0648579,2,3,0,193.184,-0.329767,0.657385,1.07155,-0.329767
-192.435,0.645717,0.0986999,1,3,0,193.344,-0.362801,0.693394,1.05569,-0.362801
-191.632,0.986584,0.0744744,2,7,0,193.08,-0.265295,0.683615,1.08774,-0.265295
-191.632,0.31764,0.109863,2,7,0,195.048,-0.265295,0.683615,1.08774,-0.265295
-191.205,0.966313,0.0438075,3,7,0,193.26,-0.327886,0.703066,1.19264,-0.327886
-193.675,0.701629,0.0620465,2,7,0,195.067,-0.27825,0.766628,1.34086,-0.27825
-191.329,0.9842,0.0525242,2,7,0,193.903,-0.208235,0.701723,1.22615,-0.208235
-191.787,0.982687,0.0766708,2,7,0,192.301,-0.0483485,0.65904,1.12527,-0.0483485
-191.523,0.968619,0.111201,2,3,0,191.9,-0.047898,0.76757,1.17402,-0.047898
-191.523,5.33493e-05,0.156478,1,1,0,193.972,-0.047898,0.76757,1.17402,-0.047898
-191.153,0.994076,0.0349403,3,11,0,191.918,-0.072529,0.715985,1.13148,-0.072529
-191.544,0.96954,0.0516879,3,7,0,191.815,-0.117319,0.769598,1.19309,-0.117319
-191.381,0.943203,0.0727576,2,5,0,192.375,0.00946641,0.736664,1.18689,0.00946641
-191.381,0.295651,0.0971895,2,5,0,193.451,0.00946641,0.736664,1.18689,0.00946641
-191.69,0.990709,0.0387161,3,7,0,191.79,0.0516984,0.686825,1.17573,0.0516984
-191.017,0.984147,0.0564877,3,11,0,192.112,-0.12563,0.719825,1.144,-0.12563
-191.06,0.85136,0.0811556,2,7,0,191.909,-0.287479,0.724004,1.14899,-0.287479
-191.02,0.912925,0.0910249,2,7,0,191.572,-0.121863,0.708942,1.17429,-0.121863
-191.131,0.950038,0.114174,3,7,0,191.234,-0.112709,0.710158,1.12407,-0.112709
-193.249,0.101084,0.152952,2,3,0,193.555,-0.185469,0.573504,1.16885,-0.185469
-193.249,0.497065,2.79444,1,1,0,195.73,-0.185469,0.573504,1.16885,-0.185469
-193.249,0,16.1098,0,1,1,194.924,-0.185469,0.573504,1.16885,-0.185469
-192.778,0.444672,2.07627,2,3,0,194.539,-0.266111,0.685561,1.03541,-0.266111
-190.99,1,0.573723,2,7,0,192.787,-0.163164,0.715893,1.14111,-0.163164
-191.111,0.989,0.767343,2,7,0,191.188,-0.171844,0.730033,1.12425,-0.171844
-191.152,0.959479,1.15291,1,3,0,191.67,-0.0531164,0.714367,1.17899,-0.0531164
-192.068,0.524897,1.72389,2,3,0,193.384,0.125675,0.757907,1.21386,0.125675
-191.335,0.998495,0.69913,3,7,0,192.283,-0.0163091,0.692647,1.16243,-0.0163091
-191.107,0.977083,1.25896,2,7,0,191.535,-0.279375,0.736336,1.15345,-0.279375
-191.107,0.381752,2.16952,1,1,0,191.541,-0.279375,0.736336,1.15345,-0.279375
-191.63,0.974458,0.575993,3,7,0,191.969,-0.324902,0.649922,1.18908,-0.324902
-192.515,0.80192,1.00381,2,7,0,194.519,0.0575766,0.763411,1.26813,0.0575766
-191.684,0.986574,1.02006,3,7,0,193.306,0.0346446,0.704783,1.11376,0.0346446
-191.684,0.47055,1.85791,1,3,0,192.161,0.0346446,0.704783,1.11376,0.0346446
-191.418,0.991095,0.675094,3,7,0,192.203,-0.0970495,0.72609,1.09789,-0.0970495
-191.052,0.946023,1.2494,2,3,0,191.824,-0.170495,0.691635,1.14149,-0.170495
-191.623,0.682877,2.00069,1,1,0,191.768,-0.24144,0.670172,1.09621,-0.24144
-192.67,0.894286,1.4266,2,3,0,193.378,-0.272995,0.813003,1.15105,-0.272995
-192.67,0.266854,1.94275,2,3,0,193.201,-0.272995,0.813003,1.15105,-0.272995
-192.379,0.997961,0.399632,2,3,0,192.84,-0.289312,0.80228,1.14149,-0.289312
-192.741,0.983724,0.746703,3,7,0,193.758,-0.283278,0.672446,1.30686,-0.283278
-191.411,1,1.32495,2,3,0,192.947,-0.376527,0.678793,1.15184,-0.376527
-191.411,0.186563,2.44353,1,1,0,192.932,-0.376527,0.678793,1.15184,-0.376527
-193.042,0.969119,0.419449,3,7,0,193.596,-0.35602,0.742533,1.03489,-0.35602
-192.041,0.995116,0.707788,2,3,0,193.507,-0.391449,0.711873,1.0763,-0.391449
-192.068,1,1.27539,2,3,0,192.379,-0.382976,0.746703,1.2541,-0.382976
-193.465,0.425533,2.30741,2,3,0,195.77,-0.127881,0.789429,1.31441,-0.127881
-191.381,1,0.823271,2,3,0,193.304,-0.0820742,0.680505,1.12426,-0.0820742
-191.494,0.730177,1.48039,2,3,0,192.824,-0.34235,0.660596,1.17595,-0.34235
-191.472,0.971848,1.25125,2,7,0,191.899,-0.359441,0.707768,1.2199,-0.359441
-192.832,0.602965,2.05577,1,1,0,192.883,-0.514322,0.631478,1.15501,-0.514322
-193.315,0.954678,1.23007,3,7,0,193.957,-0.636327,0.665223,1.14017,-0.636327
-192.325,0.915259,1.91422,2,3,0,193.74,0.134106,0.757203,1.23891,0.134106
-192.325,0.00102459,2.66184,1,1,0,193.291,0.134106,0.757203,1.23891,0.134106
-192.766,0.984937,0.326367,4,15,0,194.416,-0.189326,0.598171,1.12684,-0.189326
-192.942,0.998978,0.549856,2,3,0,193.005,-0.171062,0.591748,1.13122,-0.171062
-192.342,0.967498,0.953,3,7,0,194.028,-0.510619,0.779967,1.16369,-0.510619
-192.186,0.437746,1.50936,2,7,0,195.302,-0.00615346,0.645846,1.13202,-0.00615346
-192.563,0.991728,0.608764,3,7,0,193.358,0.158953,0.793712,1.18386,0.158953
-191.849,1,1.02171,2,3,0,192.599,0.118935,0.725051,1.20042,0.118935
-191.839,0.8115,1.73726,1,3,0,192.52,-0.0777488,0.738622,1.25514,-0.0777488
-193.735,0.337004,1.82544,2,3,0,194.384,0.0171799,0.590687,1.22191,0.0171799
-192.206,0.976204,0.587307,3,7,0,195.161,0.186019,0.763835,1.16825,0.186019
-193.446,0.949146,0.934109,2,3,0,193.53,0.33162,0.782657,1.23818,0.33162
-193.446,0.0660719,1.38075,1,1,0,195.969,0.33162,0.782657,1.23818,0.33162
-193.477,0.997788,0.235425,4,15,0,194.3,0.348409,0.798561,1.18342,0.348409
-191.05,0.996363,0.393052,4,15,0,193.878,-0.0980339,0.707087,1.16992,-0.0980339
-191.244,0.906746,0.649245,3,7,0,193.949,-0.358281,0.69325,1.17041,-0.358281
-191.482,0.955253,0.859687,2,7,0,191.988,-0.189873,0.723492,1.08701,-0.189873
-190.982,1,1.2722,1,3,0,191.351,-0.191618,0.718265,1.14218,-0.191618
-191.137,0.991735,0.520226,2,3,0,191.18,-0.12216,0.695646,1.12941,-0.12216
-191.137,0,7.37209,0,1,1,191.671,-0.12216,0.695646,1.12941,-0.12216
-192.775,0.269331,1.24036,2,3,0,193.456,-0.380889,0.600166,1.19955,-0.380889
-191.619,0.996967,0.250119,4,15,0,193.704,-0.401313,0.737311,1.21443,-0.401313
-191.592,0.99603,0.352663,4,15,0,192.604,0.0188369,0.688768,1.19621,0.0188369
-191.296,0.953809,0.562782,2,7,0,194.639,-0.137604,0.679293,1.12185,-0.137604
-191.63,0.877553,0.848808,2,3,0,192.839,-0.242785,0.740456,1.0862,-0.242785
-192.351,0.957738,1.04854,2,3,0,192.473,-0.412531,0.71831,1.06524,-0.412531
-192.351,0.0125407,1.69496,2,3,0,195.9,-0.412531,0.71831,1.06524,-0.412531
-192.151,0.999996,0.140229,3,7,0,192.371,-0.383455,0.720474,1.06921,-0.383455
