# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=carmodel_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,ar.1,sigma,lprior,b_Intercept
-193.903,1,0.0625,2,7,0,235.754,-0.619519,0.690571,1.15463,-3.05673,-0.619519
-193.903,0,14.3855,0,1,1,194.327,-0.619519,0.690571,1.15463,-3.05673,-0.619519
-193.903,0,2.43117,0,1,1,194.301,-0.619519,0.690571,1.15463,-3.05673,-0.619519
-193.903,0.00903073,0.239791,1,3,1,194.477,-0.619519,0.690571,1.15463,-3.05673,-0.619519
-194.038,0.994205,0.0191141,4,15,0,194.649,-0.63245,0.686282,1.20027,-3.05482,-0.63245
-193.934,0.997684,0.0259752,5,31,0,195.923,-0.0880346,0.804,1.16846,-3.52521,-0.0880346
-196.403,0.942272,0.0405204,3,15,0,199.002,0.525732,0.791743,1.13151,-3.5495,0.525732
-195.05,1,0.0575861,4,15,0,197.333,0.340433,0.794892,1.14806,-3.53281,0.340433
-194.106,0.944945,0.102723,3,7,0,195.524,0.286573,0.746955,1.19167,-3.32612,0.286573
-194.106,0.0178823,0.158796,2,7,0,195.434,0.286573,0.746955,1.19167,-3.32612,0.286573
-193.398,0.995348,0.013311,5,31,0,195.103,-0.030708,0.719037,1.06464,-3.15185,-0.030708
-193.239,0.99949,0.0248573,4,23,0,194.227,-0.240213,0.697229,1.27738,-3.11256,-0.240213
-196.968,0.93727,0.0474383,3,15,0,197.98,0.0651521,0.579205,1.06428,-2.82857,0.0651521
-192.297,1,0.0746987,3,11,0,197.168,-0.113343,0.722309,1.16335,-3.17793,-0.113343
-194.212,0.103665,0.143159,2,7,0,197.468,-0.0113477,0.793577,1.25007,-3.5022,-0.0113477
-194.832,0.997881,0.0170001,4,15,0,195.224,0.128432,0.790559,1.07656,-3.46433,0.128432
-194.198,0.998968,0.0326636,2,7,0,195.368,0.170679,0.794303,1.16145,-3.50656,0.170679
-197.667,0.417187,0.0625709,2,7,0,200.469,0.174327,0.781481,1.41398,-3.51171,0.174327
-195.935,1,0.0204007,2,3,0,197.736,0.154709,0.778788,1.34695,-3.479,0.154709
-195.342,0.988096,0.0391151,3,15,0,197.195,0.144432,0.761052,1.33279,-3.39732,0.144432
-193.603,1,0.0717279,2,3,0,194.943,0.0900823,0.754044,1.09463,-3.30429,0.0900823
-193.2,0.337766,0.135024,1,3,0,193.947,0.030214,0.749161,1.10309,-3.27946,0.030214
-192.646,1,0.0361183,3,11,0,193.557,-0.0127035,0.737955,1.14203,-3.23993,-0.0127035
-195.008,0.869825,0.0677596,3,15,0,195.461,-0.190855,0.817807,1.09732,-3.56995,-0.190855
-193.257,1,0.0864718,3,7,0,195.182,-0.014249,0.743652,1.08447,-3.2489,-0.014249
-193.257,1.35775e-07,0.159464,1,3,1,197.21,-0.014249,0.743652,1.08447,-3.2489,-0.014249
-193.145,0.999045,0.0171305,4,15,0,193.702,0.0296114,0.740604,1.09971,-3.24512,0.0296114
-193.521,0.990315,0.0316272,5,31,0,194.352,-0.445049,0.704595,1.0766,-3.08245,-0.445049
-195.371,0.834457,0.0564117,3,15,0,196.439,-0.423943,0.67585,1.36321,-3.06429,-0.423943
-193.468,0.955167,0.0647995,2,3,0,196.297,-0.475985,0.658229,1.23305,-2.98358,-0.475985
-194.246,0.897016,0.103361,3,7,0,195.543,-0.202343,0.596514,1.08769,-2.83361,-0.202343
-194.17,0.230659,0.1397,1,3,0,195.823,-0.25369,0.612879,1.06995,-2.85421,-0.25369
-193.45,0.998825,0.0312125,4,23,0,194.381,-0.213415,0.694935,1.04991,-3.05428,-0.213415
-193.789,0.972515,0.0556374,3,11,0,194.483,-0.270966,0.693904,1.03947,-3.04572,-0.270966
-193.818,0.994971,0.0916325,3,7,0,195.026,-0.404426,0.696629,1.29328,-3.10846,-0.404426
-193.818,9.90589e-14,0.158813,1,1,0,194.238,-0.404426,0.696629,1.29328,-3.10846,-0.404426
-195.969,0.998173,0.0203554,4,15,0,197.507,-0.772641,0.650312,1.22284,-2.96941,-0.772641
-195.475,0.992063,0.0356763,3,7,0,196.392,-0.72833,0.658404,1.14356,-2.96842,-0.72833
-193.623,0.998359,0.0610161,3,7,0,195.849,-0.592735,0.700824,1.18816,-3.09603,-0.592735
-193.396,0.999348,0.105164,3,15,0,193.858,0.172528,0.744652,1.17326,-3.29549,0.172528
-193.396,0.000943906,0.1802,1,3,1,196.642,0.172528,0.744652,1.17326,-3.29549,0.172528
-192.72,0.999526,0.0249643,4,31,0,194.118,0.048119,0.710553,1.17356,-3.1555,0.048119
-193.885,0.891052,0.0428963,4,23,0,198.562,0.144368,0.725062,1.08313,-3.1977,0.144368
-193.814,1,0.055905,3,7,0,194.042,0.135781,0.737653,1.25814,-3.28387,0.135781
-194.359,0.956356,0.094841,3,7,0,195.198,-0.697333,0.725855,1.18365,-3.18365,-0.697333
-192.411,0.587205,0.143541,2,3,0,196.677,-0.309923,0.711208,1.1946,-3.13471,-0.309923
-192.897,0.98073,0.0883144,4,15,0,193.198,0.018436,0.736277,1.21275,-3.2534,0.018436
-192.897,0.0971312,0.140948,2,5,0,193.477,0.018436,0.736277,1.21275,-3.2534,0.018436
-193.609,0.998647,0.0270684,5,63,0,194.057,-0.0398328,0.792129,1.17861,-3.4754,-0.0398328
-193.877,0.976253,0.0451373,3,7,0,194.066,-0.0775708,0.792589,1.11016,-3.45842,-0.0775708
-193.618,0.906124,0.0708976,4,15,0,196.755,-0.0216244,0.664673,1.27415,-3.03457,-0.0216244
-193.102,0.98414,0.0939172,3,7,0,194.857,-0.187517,0.724332,1.06816,-3.15842,-0.187517
-193.102,0.153348,0.148597,2,3,0,193.476,-0.187517,0.724332,1.06816,-3.15842,-0.187517
-192.369,1,0.0342573,3,15,0,193.578,-0.108303,0.70162,1.1974,-3.11616,-0.108303
-192.718,0.935672,0.0562275,4,15,0,194.183,-0.307431,0.643585,1.18911,-2.94158,-0.307431
-192.361,0.925585,0.0791771,3,15,0,193.3,-0.172644,0.735707,1.15782,-3.22126,-0.172644
-193.281,0.67984,0.10849,3,7,0,194.288,0.00485089,0.667649,1.24374,-3.03769,0.00485089
-193.877,0.971857,0.0850946,2,3,0,194.036,0.0359018,0.64724,1.0948,-2.95505,0.0359018
-192.843,0.505647,0.128739,3,7,0,193.51,-0.0792297,0.649032,1.20233,-2.97231,-0.0792297
-193.251,0.98367,0.0686277,4,15,0,194.565,-0.0942103,0.781925,1.16113,-3.41951,-0.0942103
-194.087,0.979921,0.106156,3,7,0,194.931,0.130221,0.795528,1.17753,-3.51059,0.130221
-194.087,0.0566667,0.161997,2,3,0,194.517,0.130221,0.795528,1.17753,-3.51059,0.130221
-193.037,0.993987,0.0326489,4,23,0,195.222,-0.315152,0.629401,1.20987,-2.91523,-0.315152
-192.622,0.985924,0.0514557,4,15,0,193.93,-0.0923512,0.686247,1.10617,-3.04888,-0.0923512
-192.491,0.99996,0.0792681,4,15,0,192.758,-0.329941,0.68125,1.19848,-3.04081,-0.329941
-192.792,0.230534,0.125222,3,7,0,193.054,-0.331936,0.689921,1.23578,-3.07546,-0.331936
-193.523,0.983722,0.0379829,3,15,0,194.767,-0.109742,0.660639,1.06453,-2.96727,-0.109742
-192.682,0.886831,0.0578935,2,3,0,194.699,-0.127081,0.651784,1.2013,-2.97467,-0.127081
-194.944,0.970106,0.071553,4,15,0,195.31,-0.595599,0.803066,1.14054,-3.49721,-0.595599
-194.944,0.000623838,0.105105,3,7,0,198.721,-0.595599,0.803066,1.14054,-3.49721,-0.595599
-194.217,0.999958,0.0202349,5,31,0,195.649,-0.657846,0.750706,1.15323,-3.26983,-0.657846
-194.719,0.919579,0.0317027,5,31,0,199.095,0.240917,0.708322,1.08264,-3.15346,0.240917
-193.364,0.994032,0.041853,5,31,0,198.182,-0.543821,0.682354,1.17134,-3.03476,-0.543821
-192.581,0.938794,0.064211,3,15,0,196.973,-0.0842276,0.747537,1.15391,-3.27305,-0.0842276
-194.772,0.584559,0.0875751,3,7,0,194.945,-0.183241,0.746963,1.34033,-3.30888,-0.183241
-192.62,0.992012,0.0578412,2,7,0,194.609,-0.21543,0.731886,1.10428,-3.19209,-0.21543
-193.032,0.995558,0.0876245,4,15,0,193.054,-0.190067,0.758838,1.10213,-3.29903,-0.190067
-192.579,0.491067,0.133125,3,7,0,192.836,-0.0846574,0.746703,1.17324,-3.27419,-0.0846574
-195.293,0.703343,0.0731591,3,11,0,196.103,-0.517117,0.699812,1.02713,-3.0562,-0.517117
-196.715,0.986141,0.0617914,3,11,0,199.161,-0.701278,0.774017,1.35016,-3.41785,-0.701278
