# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1257
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model-censored-x-combined_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Ymi_y.1,Ymi_y.2,Ymi_y.3,Ymi_y.4,Ymi_y.5,Ymi_y.6,Intercept_y,bsp_y.1,sigma_y,Ymi_xstar.1,Intercept_xstar,sigma_xstar,Ycens_xstar.1,Ycens_xstar.2,Ycens_xstar.3,Ycens_xstar.4,Ycens_xstar.5,Ycens_xstar.6,Ycens_xstar.7,Ycens_xstar.8,Ycens_xstar.9,Ycens_xstar.10,Ycens_xstar.11,Ycens_xstar.12,Ycens_xstar.13,lprior,b_y_Intercept,b_xstar_Intercept
-4000.26,1,0.0078125,2,3,0,7841.55,-0.591322,-1.80175,-1.11105,0.108778,-0.858649,1.50831,0.348251,1.60416,0.217158,1.09944,-0.082202,0.195191,-3.83633,-1.55011,-1.33729,-2.1672,-6.46979,-3.86161,-2.4684,-1.26542,-2.61222,-1.61397,-3.91835,-1.38012,-1.40123,-7.47284,0.348251,-0.082202
-4000.26,0,10.1835,0,1,1,4012.79,-0.591322,-1.80175,-1.11105,0.108778,-0.858649,1.50831,0.348251,1.60416,0.217158,1.09944,-0.082202,0.195191,-3.83633,-1.55011,-1.33729,-2.1672,-6.46979,-3.86161,-2.4684,-1.26542,-2.61222,-1.61397,-3.91835,-1.38012,-1.40123,-7.47284,0.348251,-0.082202
-4000.26,0,0.99273,0,1,1,4015.14,-0.591322,-1.80175,-1.11105,0.108778,-0.858649,1.50831,0.348251,1.60416,0.217158,1.09944,-0.082202,0.195191,-3.83633,-1.55011,-1.33729,-2.1672,-6.46979,-3.86161,-2.4684,-1.26542,-2.61222,-1.61397,-3.91835,-1.38012,-1.40123,-7.47284,0.348251,-0.082202
-4000.26,0,0.0525042,0,1,1,4008.15,-0.591322,-1.80175,-1.11105,0.108778,-0.858649,1.50831,0.348251,1.60416,0.217158,1.09944,-0.082202,0.195191,-3.83633,-1.55011,-1.33729,-2.1672,-6.46979,-3.86161,-2.4684,-1.26542,-2.61222,-1.61397,-3.91835,-1.38012,-1.40123,-7.47284,0.348251,-0.082202
-3633.15,1,0.00212378,2,3,0,4006.37,-0.593516,-1.80832,-1.1124,0.112006,-0.849994,1.50007,0.351706,1.58356,0.225675,1.10144,-0.0867649,0.201975,-3.82283,-1.551,-1.33679,-2.16443,-6.36732,-3.83599,-2.47905,-1.26643,-2.60168,-1.61468,-3.89484,-1.38097,-1.39997,-7.4735,0.351706,-0.0867649
-3477.06,1,0.00151458,2,3,0,3647.33,-0.592301,-1.80873,-1.11403,0.108816,-0.854872,1.49876,0.357824,1.56891,0.229942,1.09768,-0.0892321,0.204829,-3.81052,-1.54895,-1.33817,-2.16184,-6.31754,-3.833,-2.4815,-1.26651,-2.60206,-1.61534,-3.90672,-1.37963,-1.40043,-7.47378,0.357824,-0.0892321
-1259.34,1,0.00123179,5,31,0,3484.7,-0.588526,-1.82778,-1.11886,0.0770003,-0.885793,1.52444,0.406943,1.43945,0.34503,1.08179,-0.123387,0.316666,-3.64405,-1.55173,-1.33466,-2.14573,-5.28896,-3.65669,-2.46535,-1.26262,-2.51519,-1.62413,-3.6077,-1.38172,-1.39541,-7.48399,0.406943,-0.123387
-1114.75,0.999945,0.00109448,4,15,0,1276.59,-0.591627,-1.82825,-1.13019,0.0875223,-0.88728,1.51207,0.423625,1.44609,0.363876,1.09347,-0.125022,0.335714,-3.63084,-1.54418,-1.34043,-2.13325,-5.21319,-3.61678,-2.44258,-1.26325,-2.49016,-1.62403,-3.5586,-1.38136,-1.40144,-7.48577,0.423625,-0.125022
-635.542,1,0.00103406,5,31,0,1131.22,-0.568991,-1.83207,-1.13158,0.0997629,-0.887414,1.53304,0.451036,1.41471,0.479291,1.08823,-0.15656,0.447079,-3.5478,-1.53581,-1.34619,-2.13316,-4.97112,-3.59987,-2.47212,-1.25959,-2.4214,-1.60296,-3.65849,-1.37387,-1.40985,-7.50035,0.451036,-0.15656
-559.224,1,0.00102091,5,31,0,653.569,-0.568374,-1.83811,-1.13885,0.105421,-0.890148,1.49025,0.45903,1.41957,0.504949,1.09453,-0.168885,0.483595,-3.55127,-1.55403,-1.34751,-2.15389,-4.97135,-3.51249,-2.44362,-1.25936,-2.39497,-1.63231,-3.62991,-1.36766,-1.40524,-7.50568,0.45903,-0.168885
