# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1257
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model-censored-x_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept_y,bsp_y.1,sigma_y,Ymi_xstar.1,Intercept_xstar,sigma_xstar,Ycens_xstar.1,Ycens_xstar.2,Ycens_xstar.3,Ycens_xstar.4,Ycens_xstar.5,Ycens_xstar.6,Ycens_xstar.7,lprior,b_y_Intercept,b_xstar_Intercept
-296.317,1,0.015625,2,3,0,6466.84,-0.605623,-1.35145,1.655,0.086076,-0.856077,4.62737,-2.2841,-5.82986,-1.15261,-3.8075,-1.93274,-1.15405,-3.66873,-9.22508,-0.605623,-0.856077
-296.317,0,14.3855,0,1,1,304.146,-0.605623,-1.35145,1.655,0.086076,-0.856077,4.62737,-2.2841,-5.82986,-1.15261,-3.8075,-1.93274,-1.15405,-3.66873,-9.22508,-0.605623,-0.856077
-296.317,0,2.43117,0,1,1,302.815,-0.605623,-1.35145,1.655,0.086076,-0.856077,4.62737,-2.2841,-5.82986,-1.15261,-3.8075,-1.93274,-1.15405,-3.66873,-9.22508,-0.605623,-0.856077
-296.317,0,0.239791,1,1,0,300.163,-0.605623,-1.35145,1.655,0.086076,-0.856077,4.62737,-2.2841,-5.82986,-1.15261,-3.8075,-1.93274,-1.15405,-3.66873,-9.22508,-0.605623,-0.856077
-181.544,1,0.0186273,3,7,0,295.07,-0.572939,-1.2454,2.7418,0.10349,-0.825193,4.42048,-2.26455,-5.53781,-1.14789,-3.6108,-1.94659,-1.14854,-3.50123,-9.26598,-0.572939,-0.825193
-148.682,1,0.0257257,4,15,0,188.404,-0.692351,-0.504811,11.6747,0.164259,-0.81544,2.27463,-1.64393,-5.15328,-1.11858,-4.05419,-2.62712,-1.16312,-3.29634,-10.4521,-0.692351,-0.81544
-145.819,0.993458,0.0404064,6,127,0,157.603,2.34821,6.46711,6.47876,0.403453,-0.379608,1.62055,-1.67045,-1.17804,-1.57758,-1.14532,-1.08666,-1.38431,-1.54424,-8.91565,2.34821,-0.379608
-122.923,0.94363,0.067339,5,31,0,153.92,0.916739,3.2116,3.15337,0.433,0.610241,1.4677,-3.49064,-1.16248,-2.22211,-1.42235,-1.2139,-1.43777,-1.36206,-8.00227,0.916739,0.610241
-113.644,0.982649,0.100771,5,31,0,129.979,-0.231063,1.78398,1.9569,0.572265,0.389406,1.88254,-1.06751,-2.42655,-1.46248,-2.12881,-1.03502,-2.71854,-6.71458,-7.94784,-0.231063,0.389406
-101.893,0.754695,0.175459,4,15,0,115.768,-0.108524,2.13592,0.9409,2.57645,-0.111036,1.91057,-1.39896,-3.32274,-1.27614,-1.27323,-1.10548,-1.24799,-1.57529,-7.86514,-0.108524,-0.111036
-96.1143,0.154995,0.151188,5,31,0,107.714,-0.404961,2.1842,0.874875,2.24398,0.374091,1.33286,-1.88287,-2.57564,-1.42997,-1.26006,-1.3411,-1.08842,-3.21308,-7.6941,-0.404961,0.374091
-99.1404,0.998628,0.0198045,7,191,0,105.981,0.186038,2.09726,1.03823,1.33506,-0.311887,2.10611,-1.10163,-3.14146,-2.24335,-1.22206,-2.32764,-1.01152,-3.02133,-7.94885,0.186038,-0.311887
