# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = model_e2be5eb6573ecac874026412491317bd_model
# start_datetime = 2024-09-05 18:28:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/standata-177628368cc7.json
# init = 2 (Default)
# random
#   seed = 1245
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/model_e2be5eb6573ecac874026412491317bd-202409051528-2-470c15.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/model_e2be5eb6573ecac874026412491317bd-profile-202409051528-2-45bfdf.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --name=model_e2be5eb6573ecac874026412491317bd_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,ar.1,sigma,nu,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.379256
# Diagonal elements of inverse mass matrix:
# 0.000448514, 0.951394, 1.14537, 0.024589, 0.7575
-69.1216,1,0.379256,3,7,0,71.4746,0.128953,11.6809,0.948033,0.911371,25.3674,-9.27548,5.36223
-72.004,0.942643,0.379256,4,15,0,73.8603,0.14245,12.6222,0.998524,0.51673,11.6366,-8.86343,5.64219
-68.2985,0.535122,0.379256,3,15,0,75.6998,0.130169,11.5402,0.991557,0.551421,3.43009,-9.04157,5.16189
-66.6887,0.961624,0.379256,4,15,0,69.9435,0.073849,9.60135,0.975673,0.790625,9.24469,-8.41001,5.98274
-69.117,0.982296,0.379256,3,7,0,70.8911,0.127939,9.09991,0.930163,0.586905,12.7174,-8.41374,2.83089
-66.0775,0.983986,0.379256,3,7,0,70.0502,0.121375,10.1709,0.91193,0.596901,7.24317,-8.48021,4.22352
-66.249,0.454743,0.379256,3,7,0,69.078,0.0602963,9.20939,0.974546,0.579685,5.79366,-8.50724,6.25487
-64.821,0.910348,0.379256,2,7,0,68.19,0.0762391,9.4179,0.972566,0.680662,12.583,-8.42163,5.68219
-67.0345,0.872941,0.379256,3,15,0,67.9,0.107844,9.18831,0.980056,0.659111,14.5473,-8.47016,3.90395
-68.448,0.972698,0.379256,3,7,0,68.6615,0.119235,8.68502,0.893463,0.805564,10.9003,-8.39685,2.84249
-67.8238,1,0.379256,3,7,0,70.4963,0.124609,9.37688,0.904366,0.744077,5.29607,-8.55796,3.27102
-67.3314,0.951202,0.379256,3,7,0,69.5389,0.114657,8.72379,0.896613,0.730636,9.22051,-8.39059,3.1056
-65.8038,0.982581,0.379256,3,15,0,69.9123,0.0792154,10.0597,0.973894,0.576453,5.34902,-8.58603,6.17818
-65.2024,1,0.379256,3,15,0,67.1606,0.1001,9.38289,0.850377,0.777175,45.9259,-10.4552,4.478
-64.1433,0.933256,0.379256,3,7,0,66.4105,0.101429,10.4574,0.956015,0.665772,9.99531,-8.46822,5.48742
-63.3321,0.898901,0.379256,2,5,0,65.7021,0.0978249,9.89007,0.93758,0.630979,11.3066,-8.42055,5.09665
